Rank,Rider,Rider No.,Team,Times,Gap,B,P,Stages,Year
93,YVES LAMPAERT,106,QUICK - STEP FLOORS,51h 05' 16'',+ 01h 40' 33'',04',,12,2018
94,EDWARD THEUNS,38,TEAM SUNWEB,51h 05' 28'',+ 01h 40' 45'',,,12,2018
95,MARC SOLER,77,MOVISTAR TEAM,51h 05' 33'',+ 01h 40' 50'',,,12,2018
96,SEP VANMARCKE,18,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,51h 06' 27'',+ 01h 41' 44'',,,12,2018
97,SILVAN DILLIER,22,AG2R LA MONDIALE,51h 06' 35'',+ 01h 41' 52'',,,12,2018
98,ALEXANDER KRISTOFF,95,UAE TEAM EMIRATES,51h 06' 45'',+ 01h 42' 02'',,,12,2018
99,GREGOR MÜHLBERGER,115,BORA - HANSGROHE,51h 07' 01'',+ 01h 42' 18'',,,12,2018
100,DANIEL OSS,116,BORA - HANSGROHE,51h 07' 56'',+ 01h 43' 13'',,,12,2018
101,PAWEL POLJANSKI,117,BORA - HANSGROHE,51h 08' 08'',+ 01h 43' 25'',,,12,2018
102,SONNY COLBRELLI,52,BAHRAIN - MERIDA,51h 08' 39'',+ 01h 43' 56'',12',,12,2018
103,JONATHAN CASTROVIEJO NICOLAS,3,TEAM SKY,51h 09' 18'',+ 01h 44' 35'',,,12,2018
104,MICHAEL SCHÄR,86,BMC RACING TEAM,51h 09' 37'',+ 01h 44' 54'',,,12,2018
105,DION SMITH,217,WANTY - GROUPE GOBERT,51h 11' 36'',+ 01h 46' 53'',,,12,2018
106,JÉRÔME COUSIN,184,DIRECT ENERGIE,51h 11' 56'',+ 01h 47' 13'',03',,12,2018
107,MATHEW HAYMAN,64,MITCHELTON - SCOTT,51h 12' 21'',+ 01h 47' 38'',,,12,2018
108,LAURENT PICHON,47,TEAM FORTUNEO - SAMSIC,51h 12' 23'',+ 01h 47' 40'',,,12,2018
109,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",51h 12' 32'',+ 01h 47' 49'',01',,12,2018
110,TOMASZ MARCZYNSKI,176,LOTTO SOUDAL,51h 12' 37'',+ 01h 47' 54'',01',,12,2018
111,KRISTIJAN KOREN,56,BAHRAIN - MERIDA,51h 13' 01'',+ 01h 48' 18'',,,12,2018
112,FLORIAN VACHON,48,TEAM FORTUNEO - SAMSIC,51h 13' 30'',+ 01h 48' 47'',,,12,2018
113,SIMON CLARKE,12,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,51h 14' 51'',+ 01h 50' 08'',,,12,2018
114,GIANNI MOSCON,5,TEAM SKY,51h 16' 13'',+ 01h 51' 30'',,,12,2018
115,JULIEN VERMOTE,138,TEAM DIMENSION DATA,51h 16' 59'',+ 01h 52' 16'',,,12,2018
116,PATRICK BEVIN,82,BMC RACING TEAM,51h 17' 32'',+ 01h 52' 49'',,,12,2018
117,HEINRICH HAUSSLER,53,BAHRAIN - MERIDA,51h 17' 46'',+ 01h 53' 03'',,,12,2018
118,LUKE DURBRIDGE,63,MITCHELTON - SCOTT,51h 18' 52'',+ 01h 54' 09'',,00' 30'',12,2018
119,MARCO MARCATO,96,UAE TEAM EMIRATES,51h 19' 07'',+ 01h 54' 24'',,,12,2018
120,ROMAIN HARDY,44,TEAM FORTUNEO - SAMSIC,51h 19' 13'',+ 01h 54' 30'',,00' 20'',12,2018
121,DAMIEN HOWSON,66,MITCHELTON - SCOTT,51h 20' 37'',+ 01h 55' 54'',,,12,2018
122,RORY SUTHERLAND,97,UAE TEAM EMIRATES,51h 20' 57'',+ 01h 56' 14'',,,12,2018
123,TIM DECLERCQ,102,QUICK - STEP FLOORS,51h 21' 08'',+ 01h 56' 25'',,,12,2018
124,JACK BAUER,62,MITCHELTON - SCOTT,51h 21' 30'',+ 01h 56' 47'',03',,12,2018
125,LUKAS PÖSTLBERGER,118,BORA - HANSGROHE,51h 21' 44'',+ 01h 57' 01'',,,12,2018
126,KÉVIN LEDANOIS,45,TEAM FORTUNEO - SAMSIC,51h 21' 52'',+ 01h 57' 09'',,,12,2018
127,OLIVIER LE GAC,154,GROUPAMA - FDJ,51h 21' 54'',+ 01h 57' 11'',,,12,2018
128,SIMON GERRANS,84,BMC RACING TEAM,51h 22' 38'',+ 01h 57' 55'',,,12,2018
129,TOM SCULLY,17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,51h 24' 53'',+ 02h 00' 10'',,,12,2018
130,LUKE ROWE,7,TEAM SKY,51h 27' 03'',+ 02h 02' 20'',,,12,2018
131,ARNAUD DEMARE,151,GROUPAMA - FDJ,51h 27' 25'',+ 02h 02' 42'',04',,12,2018
132,TAYLOR PHINNEY,15,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,51h 28' 02'',+ 02h 03' 19'',,,12,2018
133,NIKI TERPSTRA,108,QUICK - STEP FLOORS,51h 28' 25'',+ 02h 03' 42'',,,12,2018
134,RAMON SINKELDAM,157,GROUPAMA - FDJ,51h 29' 24'',+ 02h 04' 41'',,,12,2018
135,OLIVIERO TROIA,98,UAE TEAM EMIRATES,51h 29' 24'',+ 02h 04' 41'',,,12,2018
136,GUILLAUME VAN KEIRSBULCK,218,WANTY - GROUPE GOBERT,51h 30' 19'',+ 02h 05' 36'',02',,12,2018
137,DANIELE BENNATI,73,MOVISTAR TEAM,51h 31' 40'',+ 02h 06' 57'',,,12,2018
138,DIMITRI CLAEYS,202,"COFIDIS, SOLUTIONS CREDITS",51h 31' 46'',+ 02h 07' 03'',03',,12,2018
139,ROBERTO FERRARI,94,UAE TEAM EMIRATES,51h 32' 05'',+ 02h 07' 22'',,,12,2018
140,MAXIMILIANO RICHEZE,107,QUICK - STEP FLOORS,51h 32' 35'',+ 02h 07' 52'',,,12,2018
141,TIMOTHY DUPONT,213,WANTY - GROUPE GOBERT,51h 32' 49'',+ 02h 08' 06'',,,12,2018
142,MICHAEL HEPBURN,65,MITCHELTON - SCOTT,51h 33' 33'',+ 02h 08' 50'',,,12,2018
143,MACIEJ BODNAR,112,BORA - HANSGROHE,51h 33' 52'',+ 02h 09' 09'',,,12,2018
144,CHRISTOPHE LAPORTE,201,"COFIDIS, SOLUTIONS CREDITS",51h 34' 02'',+ 02h 09' 19'',,00' 20'',12,2018
145,DAMIEN GAUDIN,185,DIRECT ENERGIE,51h 35' 45'',+ 02h 11' 02'',,00' 10'',12,2018
146,FABIEN GRELLIER,186,DIRECT ENERGIE,51h 38' 42'',+ 02h 13' 59'',02',00' 10'',12,2018
147,ANTHONY TURGIS,208,"COFIDIS, SOLUTIONS CREDITS",51h 43' 06'',+ 02h 18' 23'',,,12,2018
148,JACOPO GUARNIERI,153,GROUPAMA - FDJ,51h 45' 03'',+ 02h 20' 20'',,,12,2018
149,JASPER DE BUYST,173,LOTTO SOUDAL,51h 45' 22'',+ 02h 20' 39'',,00' 20'',12,2018
150,AMUND GRØNDAHL JANSEN,164,TEAM LOTTO NL - JUMBO,51h 49' 19'',+ 02h 24' 36'',,,12,2018
151,JAY ROBERT THOMSON,137,TEAM DIMENSION DATA,51h 50' 46'',+ 02h 26' 03'',,00' 20'',12,2018
152,TIMO ROOSEN,167,TEAM LOTTO NL - JUMBO,51h 52' 20'',+ 02h 27' 37'',,00' 20'',12,2018
153,G LAWSON CRADDOCK,13,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,51h 58' 34'',+ 02h 33' 51'',,,12,2018
1,GERAINT THOMAS,8,TEAM SKY,53h 10' 38'',-,23',,13,2018
2,CHRIS FROOME,1,TEAM SKY,53h 12' 17'',+ 00h 01' 39'',04',,13,2018
3,TOM DUMOULIN,32,TEAM SUNWEB,53h 12' 28'',+ 00h 01' 50'',12',00' 20'',13,2018
4,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,53h 13' 24'',+ 00h 02' 46'',,,13,2018
5,ROMAIN BARDET,21,AG2R LA MONDIALE,53h 13' 45'',+ 00h 03' 07'',04',,13,2018
6,MIKEL LANDA MEANA,75,MOVISTAR TEAM,53h 13' 51'',+ 00h 03' 13'',,,13,2018
7,STEVEN KRUIJSWIJK,161,TEAM LOTTO NL - JUMBO,53h 14' 21'',+ 00h 03' 43'',,,13,2018
8,NAIRO QUINTANA,71,MOVISTAR TEAM,53h 14' 51'',+ 00h 04' 13'',,,13,2018
9,DANIEL MARTIN,91,UAE TEAM EMIRATES,53h 15' 49'',+ 00h 05' 11'',11',,13,2018
10,JAKOB FUGLSANG,121,ASTANA PRO TEAM,53h 16' 23'',+ 00h 05' 45'',,,13,2018
11,ALEJANDRO VALVERDE,78,MOVISTAR TEAM,53h 19' 45'',+ 00h 09' 07'',04',,13,2018
12,BOB JUNGELS,105,QUICK - STEP FLOORS,53h 19' 47'',+ 00h 09' 09'',,,13,2018
13,ILNUR ZAKARIN,141,TEAM KATUSHA ALPECIN,53h 20' 15'',+ 00h 09' 37'',,,13,2018
14,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,53h 26' 06'',+ 00h 15' 28'',,,13,2018
15,PIERRE LATOUR,26,AG2R LA MONDIALE,53h 27' 19'',+ 00h 16' 41'',06',00' 10'',13,2018
16,GUILLAUME MARTIN GUYONNET,211,WANTY - GROUPE GOBERT,53h 29' 17'',+ 00h 18' 39'',,,13,2018
17,TANEL KANGERT,125,ASTANA PRO TEAM,53h 31' 19'',+ 00h 20' 41'',,,13,2018
18,EGAN BERNAL GOMEZ,2,TEAM SKY,53h 34' 08'',+ 00h 23' 30'',,00' 10'',13,2018
19,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,53h 34' 33'',+ 00h 23' 55'',,,13,2018
20,RAFAL MAJKA,114,BORA - HANSGROHE,53h 41' 24'',+ 00h 30' 46'',,,13,2018
21,ADAM YATES,61,MITCHELTON - SCOTT,53h 46' 56'',+ 00h 36' 18'',,,13,2018
22,BAUKE MOLLEMA,191,TREK - SEGAFREDO,53h 48' 17'',+ 00h 37' 39'',,,13,2018
23,ION IZAGIRRE INSAUSTI,55,BAHRAIN - MERIDA,53h 48' 33'',+ 00h 37' 55'',06',,13,2018
24,SERGE PAUWELS,134,TEAM DIMENSION DATA,53h 49' 21'',+ 00h 38' 43'',,00' 20'',13,2018
25,DAMIANO CARUSO,83,BMC RACING TEAM,53h 49' 56'',+ 00h 39' 18'',,,13,2018
26,DOMENICO POZZOVIVO,58,BAHRAIN - MERIDA,53h 51' 49'',+ 00h 41' 11'',,,13,2018
27,GREG VAN AVERMAET,87,BMC RACING TEAM,53h 55' 24'',+ 00h 44' 46'',15',,13,2018
28,SIMON GESCHKE,34,TEAM SUNWEB,53h 58' 24'',+ 00h 47' 46'',,,13,2018
29,PIERRE ROLLAND,16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,54h 00' 18'',+ 00h 49' 40'',,,13,2018
30,LILIAN CALMEJANE,181,DIRECT ENERGIE,54h 03' 18'',+ 00h 52' 40'',01',,13,2018
31,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,54h 03' 26'',+ 00h 52' 48'',,,13,2018
32,TEJAY VAN GARDEREN,88,BMC RACING TEAM,54h 04' 04'',+ 00h 53' 26'',,,13,2018
33,DAVID GAUDU,152,GROUPAMA - FDJ,54h 04' 18'',+ 00h 53' 40'',,,13,2018
34,ARTHUR VICHOT,158,GROUPAMA - FDJ,54h 09' 00'',+ 00h 58' 22'',,,13,2018
35,RUDY MOLARD,156,GROUPAMA - FDJ,54h 09' 38'',+ 00h 59' 00'',,,13,2018
36,GORKA IZAGIRRE INSAUSTI,54,BAHRAIN - MERIDA,54h 10' 02'',+ 00h 59' 24'',,,13,2018
37,MAXIME BOUET,42,TEAM FORTUNEO - SAMSIC,54h 13' 55'',+ 01h 03' 17'',,,13,2018
38,AMAEL MOINARD,46,TEAM FORTUNEO - SAMSIC,54h 14' 41'',+ 01h 04' 03'',,,13,2018
39,JULIEN BERNARD,192,TREK - SEGAFREDO,54h 15' 37'',+ 01h 04' 59'',,,13,2018
40,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,54h 16' 51'',+ 01h 06' 13'',13',,13,2018
41,SØREN KRAGH ANDERSEN,36,TEAM SUNWEB,54h 17' 30'',+ 01h 06' 52'',,,13,2018
42,PAVEL KOCHETKOV,145,TEAM KATUSHA ALPECIN,54h 19' 40'',+ 01h 09' 02'',,,13,2018
43,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,54h 20' 02'',+ 01h 09' 24'',03',,13,2018
44,MATHIAS FRANK,24,AG2R LA MONDIALE,54h 20' 06'',+ 01h 09' 28'',,,13,2018
45,DANIEL FELIPE MARTINEZ POVEDA,14,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,54h 22' 34'',+ 01h 11' 56'',,,13,2018
46,STEFAN KÜNG,85,BMC RACING TEAM,54h 22' 35'',+ 01h 11' 57'',04',,13,2018
47,LAURENS TEN DAM,37,TEAM SUNWEB,54h 22' 45'',+ 01h 12' 07'',,,13,2018
48,PHILIPPE GILBERT,104,QUICK - STEP FLOORS,54h 23' 24'',+ 01h 12' 46'',06',,13,2018
49,KRISTIJAN ÐURASEK,93,UAE TEAM EMIRATES,54h 23' 54'',+ 01h 13' 16'',,,13,2018
50,JESUS HERRADA,204,"COFIDIS, SOLUTIONS CREDITS",54h 25' 03'',+ 01h 14' 25'',,,13,2018
51,MICHAEL VALGREN HUNDAHL,128,ASTANA PRO TEAM,54h 28' 11'',+ 01h 17' 33'',,,13,2018
52,FRANCO PELLIZOTTI,57,BAHRAIN - MERIDA,54h 28' 55'',+ 01h 18' 17'',,,13,2018
53,OLIVER NAESEN,27,AG2R LA MONDIALE,54h 29' 02'',+ 01h 18' 24'',01',,13,2018
54,ANTWAN TOLHOEK,168,TEAM LOTTO NL - JUMBO,54h 29' 07'',+ 01h 18' 29'',,,13,2018
55,DARYL IMPEY,67,MITCHELTON - SCOTT,54h 29' 47'',+ 01h 19' 09'',,,13,2018
56,TOM-JELTE SLAGTER,136,TEAM DIMENSION DATA,54h 31' 18'',+ 01h 20' 40'',,,13,2018
57,DANIEL NAVARRO GARCIA,205,"COFIDIS, SOLUTIONS CREDITS",54h 31' 30'',+ 01h 20' 52'',,,13,2018
58,MICHAL KWIATKOWSKI,4,TEAM SKY,54h 31' 45'',+ 01h 21' 07'',,,13,2018
59,MARCO MINNAARD,214,WANTY - GROUPE GOBERT,54h 32' 18'',+ 01h 21' 40'',03',,13,2018
60,PETER SAGAN,111,BORA - HANSGROHE,54h 33' 55'',+ 01h 23' 17'',52',,13,2018
61,WOUT POELS,6,TEAM SKY,54h 34' 01'',+ 01h 23' 23'',,,13,2018
62,JASPER STUYVEN,198,TREK - SEGAFREDO,54h 35' 10'',+ 01h 24' 32'',,,13,2018
63,JHON DARWIN ATAPUMA HURTADO,92,UAE TEAM EMIRATES,54h 35' 16'',+ 01h 24' 38'',,00' 20'',13,2018
64,CHAD HAGA,35,TEAM SUNWEB,54h 36' 29'',+ 01h 25' 51'',,,13,2018
65,ANDREY AMADOR,72,MOVISTAR TEAM,54h 36' 36'',+ 01h 25' 58'',,00' 10'',13,2018
66,NICOLAS EDET,203,"COFIDIS, SOLUTIONS CREDITS",54h 37' 12'',+ 01h 26' 34'',,,13,2018
67,KOEN DE KORT,193,TREK - SEGAFREDO,54h 38' 24'',+ 01h 27' 46'',,,13,2018
68,EDVALD BOASSON-HAGEN,132,TEAM DIMENSION DATA,54h 39' 06'',+ 01h 28' 28'',,02' 00'',13,2018
69,THOMAS DE GENDT,174,LOTTO SOUDAL,54h 39' 23'',+ 01h 28' 45'',,,13,2018
70,MAGNUS CORT NIELSEN,126,ASTANA PRO TEAM,54h 39' 40'',+ 01h 29' 02'',,,13,2018
71,THOMAS DEGAND,212,WANTY - GROUPE GOBERT,54h 39' 46'',+ 01h 29' 08'',,,13,2018
72,NIKIAS ARNDT,33,TEAM SUNWEB,54h 40' 23'',+ 01h 29' 45'',,,13,2018
73,ANDREA PASQUALON,216,WANTY - GROUPE GOBERT,54h 41' 39'',+ 01h 31' 01'',,,13,2018
74,MARCUS BURGHARDT,113,BORA - HANSGROHE,54h 41' 51'',+ 01h 31' 13'',01',,13,2018
75,OMAR FRAILE MATARRANZ,122,ASTANA PRO TEAM,54h 43' 08'',+ 01h 32' 30'',,,13,2018
76,TOBIAS LUDVIGSSON,155,GROUPAMA - FDJ,54h 43' 53'',+ 01h 33' 15'',,,13,2018
77,THOMAS BOUDAT,182,DIRECT ENERGIE,54h 44' 55'',+ 01h 34' 17'',,,13,2018
78,ROMAIN SICARD,187,DIRECT ENERGIE,54h 45' 18'',+ 01h 34' 40'',,,13,2018
79,JESPER HANSEN,124,ASTANA PRO TEAM,54h 46' 30'',+ 01h 35' 52'',,,13,2018
80,JULIEN SIMON,207,"COFIDIS, SOLUTIONS CREDITS",54h 46' 38'',+ 01h 36' 00'',,,13,2018
81,PAUL MARTENS,165,TEAM LOTTO NL - JUMBO,54h 46' 50'',+ 01h 36' 12'',,,13,2018
82,ELIE GESBERT,43,TEAM FORTUNEO - SAMSIC,54h 46' 59'',+ 01h 36' 21'',,,13,2018
83,TOMS SKUJINS,197,TREK - SEGAFREDO,54h 47' 15'',+ 01h 36' 37'',,,13,2018
84,IAN BOSWELL,142,TEAM KATUSHA ALPECIN,54h 47' 49'',+ 01h 37' 11'',,,13,2018
85,JELLE VANENDERT,178,LOTTO SOUDAL,54h 48' 00'',+ 01h 37' 22'',,,13,2018
86,NILS POLITT,147,TEAM KATUSHA ALPECIN,54h 49' 47'',+ 01h 39' 09'',,,13,2018
87,REINARDT JANSE VAN RENSBURG,133,TEAM DIMENSION DATA,54h 50' 08'',+ 01h 39' 30'',,,13,2018
88,JOHN DEGENKOLB,194,TREK - SEGAFREDO,54h 50' 32'',+ 01h 39' 54'',14',,13,2018
89,YOANN OFFREDO,215,WANTY - GROUPE GOBERT,54h 50' 51'',+ 01h 40' 13'',02',,13,2018
90,IMANOL ERVITI,74,MOVISTAR TEAM,54h 50' 56'',+ 01h 40' 18'',,,13,2018
91,YVES LAMPAERT,106,QUICK - STEP FLOORS,54h 51' 11'',+ 01h 40' 33'',04',,13,2018
92,EDWARD THEUNS,38,TEAM SUNWEB,54h 51' 23'',+ 01h 40' 45'',,,13,2018
93,ALEXANDER KRISTOFF,95,UAE TEAM EMIRATES,54h 52' 34'',+ 01h 41' 56'',06',,13,2018
94,MICHAEL GOGL,195,TREK - SEGAFREDO,54h 52' 34'',+ 01h 41' 56'',,,13,2018
95,SEP VANMARCKE,18,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,54h 52' 36'',+ 01h 41' 58'',,,13,2018
96,SILVAN DILLIER,22,AG2R LA MONDIALE,54h 53' 13'',+ 01h 42' 35'',,,13,2018
97,MARC SOLER,77,MOVISTAR TEAM,54h 53' 36'',+ 01h 42' 58'',,,13,2018
98,SONNY COLBRELLI,52,BAHRAIN - MERIDA,54h 54' 34'',+ 01h 43' 56'',12',,13,2018
99,GREGOR MÜHLBERGER,115,BORA - HANSGROHE,54h 55' 04'',+ 01h 44' 26'',,,13,2018
100,DANIEL OSS,116,BORA - HANSGROHE,54h 55' 47'',+ 01h 45' 09'',,,13,2018
101,PAWEL POLJANSKI,117,BORA - HANSGROHE,54h 56' 11'',+ 01h 45' 33'',,,13,2018
102,JONATHAN CASTROVIEJO NICOLAS,3,TEAM SKY,54h 57' 09'',+ 01h 46' 31'',,,13,2018
103,DION SMITH,217,WANTY - GROUPE GOBERT,54h 57' 31'',+ 01h 46' 53'',,,13,2018
104,MATHEW HAYMAN,64,MITCHELTON - SCOTT,54h 58' 16'',+ 01h 47' 38'',,,13,2018
105,MICHAEL SCHÄR,86,BMC RACING TEAM,54h 58' 20'',+ 01h 47' 42'',,,13,2018
106,LAURENT PICHON,47,TEAM FORTUNEO - SAMSIC,54h 59' 05'',+ 01h 48' 27'',,,13,2018
107,JÉRÔME COUSIN,184,DIRECT ENERGIE,54h 59' 05'',+ 01h 48' 27'',03',,13,2018
108,KRISTIJAN KOREN,56,BAHRAIN - MERIDA,55h 00' 01'',+ 01h 49' 23'',,,13,2018
109,TOMASZ MARCZYNSKI,176,LOTTO SOUDAL,55h 00' 08'',+ 01h 49' 30'',01',,13,2018
110,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",55h 00' 35'',+ 01h 49' 57'',01',,13,2018
111,FLORIAN VACHON,48,TEAM FORTUNEO - SAMSIC,55h 01' 01'',+ 01h 50' 23'',,,13,2018
112,SIMON CLARKE,12,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,55h 02' 42'',+ 01h 52' 04'',,,13,2018
113,JULIEN VERMOTE,138,TEAM DIMENSION DATA,55h 02' 54'',+ 01h 52' 16'',,,13,2018
114,GIANNI MOSCON,5,TEAM SKY,55h 04' 16'',+ 01h 53' 38'',,,13,2018
115,HEINRICH HAUSSLER,53,BAHRAIN - MERIDA,55h 04' 24'',+ 01h 53' 46'',,,13,2018
116,PATRICK BEVIN,82,BMC RACING TEAM,55h 05' 03'',+ 01h 54' 25'',,,13,2018
117,MARCO MARCATO,96,UAE TEAM EMIRATES,55h 05' 49'',+ 01h 55' 11'',,,13,2018
118,LUKE DURBRIDGE,63,MITCHELTON - SCOTT,55h 06' 55'',+ 01h 56' 17'',,00' 30'',13,2018
119,ROMAIN HARDY,44,TEAM FORTUNEO - SAMSIC,55h 07' 16'',+ 01h 56' 38'',,00' 20'',13,2018
120,JACK BAUER,62,MITCHELTON - SCOTT,55h 07' 25'',+ 01h 56' 47'',03',,13,2018
121,KÉVIN LEDANOIS,45,TEAM FORTUNEO - SAMSIC,55h 07' 47'',+ 01h 57' 09'',,,13,2018
122,DAMIEN HOWSON,66,MITCHELTON - SCOTT,55h 08' 40'',+ 01h 58' 02'',,,13,2018
123,RORY SUTHERLAND,97,UAE TEAM EMIRATES,55h 09' 00'',+ 01h 58' 22'',,,13,2018
124,TIM DECLERCQ,102,QUICK - STEP FLOORS,55h 09' 11'',+ 01h 58' 33'',,,13,2018
125,SIMON GERRANS,84,BMC RACING TEAM,55h 09' 32'',+ 01h 58' 54'',,,13,2018
126,LUKAS PÖSTLBERGER,118,BORA - HANSGROHE,55h 09' 47'',+ 01h 59' 09'',,,13,2018
127,OLIVIER LE GAC,154,GROUPAMA - FDJ,55h 09' 51'',+ 01h 59' 13'',,,13,2018
128,ARNAUD DEMARE,151,GROUPAMA - FDJ,55h 13' 16'',+ 02h 02' 38'',08',,13,2018
129,TOM SCULLY,17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,55h 13' 33'',+ 02h 02' 55'',,,13,2018
130,TAYLOR PHINNEY,15,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,55h 13' 57'',+ 02h 03' 19'',,,13,2018
131,LUKE ROWE,7,TEAM SKY,55h 15' 06'',+ 02h 04' 28'',,,13,2018
132,RAMON SINKELDAM,157,GROUPAMA - FDJ,55h 15' 43'',+ 02h 05' 05'',,,13,2018
133,NIKI TERPSTRA,108,QUICK - STEP FLOORS,55h 16' 28'',+ 02h 05' 50'',,,13,2018
134,GUILLAUME VAN KEIRSBULCK,218,WANTY - GROUPE GOBERT,55h 16' 47'',+ 02h 06' 09'',02',,13,2018
135,OLIVIERO TROIA,98,UAE TEAM EMIRATES,55h 17' 21'',+ 02h 06' 43'',,,13,2018
136,DANIELE BENNATI,73,MOVISTAR TEAM,55h 18' 15'',+ 02h 07' 37'',,,13,2018
137,MAXIMILIANO RICHEZE,107,QUICK - STEP FLOORS,55h 18' 30'',+ 02h 07' 52'',,,13,2018
138,TIMOTHY DUPONT,213,WANTY - GROUPE GOBERT,55h 18' 44'',+ 02h 08' 06'',,,13,2018
139,ROBERTO FERRARI,94,UAE TEAM EMIRATES,55h 18' 47'',+ 02h 08' 09'',,,13,2018
140,MICHAEL HEPBURN,65,MITCHELTON - SCOTT,55h 19' 28'',+ 02h 08' 50'',,,13,2018
141,DIMITRI CLAEYS,202,"COFIDIS, SOLUTIONS CREDITS",55h 19' 49'',+ 02h 09' 11'',03',,13,2018
142,CHRISTOPHE LAPORTE,201,"COFIDIS, SOLUTIONS CREDITS",55h 19' 57'',+ 02h 09' 19'',,00' 20'',13,2018
143,MACIEJ BODNAR,112,BORA - HANSGROHE,55h 21' 10'',+ 02h 10' 32'',,,13,2018
144,DAMIEN GAUDIN,185,DIRECT ENERGIE,55h 23' 48'',+ 02h 13' 10'',,00' 10'',13,2018
145,FABIEN GRELLIER,186,DIRECT ENERGIE,55h 26' 28'',+ 02h 15' 50'',02',00' 10'',13,2018
146,JACOPO GUARNIERI,153,GROUPAMA - FDJ,55h 30' 58'',+ 02h 20' 20'',,,13,2018
147,ANTHONY TURGIS,208,"COFIDIS, SOLUTIONS CREDITS",55h 31' 09'',+ 02h 20' 31'',,,13,2018
148,JASPER DE BUYST,173,LOTTO SOUDAL,55h 31' 17'',+ 02h 20' 39'',,00' 20'',13,2018
149,AMUND GRØNDAHL JANSEN,164,TEAM LOTTO NL - JUMBO,55h 36' 50'',+ 02h 26' 12'',,,13,2018
150,TIMO ROOSEN,167,TEAM LOTTO NL - JUMBO,55h 38' 15'',+ 02h 27' 37'',,00' 20'',13,2018
151,JAY ROBERT THOMSON,137,TEAM DIMENSION DATA,55h 38' 17'',+ 02h 27' 39'',,00' 20'',13,2018
152,G LAWSON CRADDOCK,13,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,55h 47' 14'',+ 02h 36' 36'',,,13,2018
1,GERAINT THOMAS,8,TEAM SKY,58h 10' 44'',-,23',,14,2018
2,CHRIS FROOME,1,TEAM SKY,58h 12' 23'',+ 00h 01' 39'',04',,14,2018
3,TOM DUMOULIN,32,TEAM SUNWEB,58h 12' 34'',+ 00h 01' 50'',12',00' 20'',14,2018
4,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,58h 13' 22'',+ 00h 02' 38'',,,14,2018
5,ROMAIN BARDET,21,AG2R LA MONDIALE,58h 14' 05'',+ 00h 03' 21'',04',,14,2018
6,MIKEL LANDA MEANA,75,MOVISTAR TEAM,58h 14' 26'',+ 00h 03' 42'',,,14,2018
7,STEVEN KRUIJSWIJK,161,TEAM LOTTO NL - JUMBO,58h 14' 41'',+ 00h 03' 57'',,,14,2018
8,NAIRO QUINTANA,71,MOVISTAR TEAM,58h 15' 07'',+ 00h 04' 23'',,,14,2018
9,JAKOB FUGLSANG,121,ASTANA PRO TEAM,58h 16' 58'',+ 00h 06' 14'',,,14,2018
10,DANIEL MARTIN,91,UAE TEAM EMIRATES,58h 17' 38'',+ 00h 06' 54'',11',,14,2018
11,ALEJANDRO VALVERDE,78,MOVISTAR TEAM,58h 20' 20'',+ 00h 09' 36'',04',,14,2018
12,BOB JUNGELS,105,QUICK - STEP FLOORS,58h 20' 37'',+ 00h 09' 53'',,,14,2018
13,ILNUR ZAKARIN,141,TEAM KATUSHA ALPECIN,58h 20' 45'',+ 00h 10' 01'',,,14,2018
14,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,58h 27' 06'',+ 00h 16' 22'',,,14,2018
15,PIERRE LATOUR,26,AG2R LA MONDIALE,58h 28' 12'',+ 00h 17' 28'',06',00' 10'',14,2018
16,GUILLAUME MARTIN GUYONNET,211,WANTY - GROUPE GOBERT,58h 30' 39'',+ 00h 19' 55'',,,14,2018
17,DAMIANO CARUSO,83,BMC RACING TEAM,58h 32' 10'',+ 00h 21' 26'',,,14,2018
18,TANEL KANGERT,125,ASTANA PRO TEAM,58h 32' 20'',+ 00h 21' 36'',,,14,2018
