Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
3,AMAEL MOINARD,177,COFIDIS LE CREDIT EN LIGNE,11 PTS,,8,2010,,,,Col de la Ramaz - 189 km
4,RAFAEL VALLS,219,FOOTON-SERVETTO,9 PTS,,8,2010,,,,Col de la Ramaz - 189 km
5,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,8 PTS,,8,2010,,,,Col de la Ramaz - 189 km
6,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,7 PTS,,8,2010,,,,Col de la Ramaz - 189 km
7,IMANOL ERVITI,163,CAISSE D'EPARGNE,6 PTS,,8,2010,,,,Col de la Ramaz - 189 km
8,DANIEL NAVARRO GARCIA,6,ASTANA,5 PTS,,8,2010,,,,Col de la Ramaz - 189 km
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,4 PTS,,8,2010,,,,LES GETS - 189 km
2,KOOS MOERENHOUT,196,RABOBANK,3 PTS,,8,2010,,,,LES GETS - 189 km
3,AMAEL MOINARD,177,COFIDIS LE CREDIT EN LIGNE,2 PTS,,8,2010,,,,LES GETS - 189 km
4,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,1 PTS,,8,2010,,,,LES GETS - 189 km
1,ANDY SCHLECK,11,TEAM SAXO BANK,30 PTS,,8,2010,,,,Avoriaz - 189 km
2,SAMUEL SANCHEZ,181,EUSKALTEL - EUSKADI,26 PTS,,8,2010,,,,Avoriaz - 189 km
3,ROBERT GESINK,195,RABOBANK,22 PTS,,8,2010,,,,Avoriaz - 189 km
4,ROMAN KREUZIGER,44,LIQUIGAS-DOIMO,18 PTS,,8,2010,,,,Avoriaz - 189 km
6,CADEL EVANS,121,BMC RACING TEAM,14 PTS,,8,2010,,,,Avoriaz - 189 km
7,JURGEN VAN DEN BROECK,101,OMEGA PHARMA - LOTTO,12 PTS,,8,2010,,,,Avoriaz - 189 km
8,LEVI LEIPHEIMER,25,TEAM RADIOSHACK,10 PTS,,8,2010,,,,Avoriaz - 189 km
1,JÉRÔME PINEAU,135,QUICK STEP,3 PTS,,9,2010,,,,Côte de Châtillon - 204.5 km
2,JENS VOIGT,19,TEAM SAXO BANK,2 PTS,,9,2010,,,,Côte de Châtillon - 204.5 km
3,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,1 PTS,,9,2010,,,,Côte de Châtillon - 204.5 km
1,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,15 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
2,JÉRÔME PINEAU,135,QUICK STEP,13 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
3,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,11 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
4,SANDY CASAR,62,FDJ,9 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
5,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,8 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
6,CYRIL GAUTIER,155,BBOX BOUYGUES TELECOM,7 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
7,JENS VOIGT,19,TEAM SAXO BANK,6 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
8,JOSÉ IVAN GUTIERREZ PALACIOS,164,CAISSE D'EPARGNE,5 PTS,,9,2010,,,,Col de la Colombière - 204.5 km
