Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
1,WARREN BARGUIL,143,TEAM SUNWEB,10 PTS,,13,2017,,,,Mur de Péguère - 101 km
2,MIKEL LANDA MEANA,6,TEAM SKY,8 PTS,,13,2017,,,,Mur de Péguère - 101 km
3,ALBERTO CONTADOR,31,TREK - SEGAFREDO,6 PTS,,13,2017,,,,Mur de Péguère - 101 km
4,NAIRO QUINTANA,21,MOVISTAR TEAM,4 PTS,,13,2017,,,,Mur de Péguère - 101 km
5,FABIO ARU,51,ASTANA PRO TEAM,2 PTS,,13,2017,,,,Mur de Péguère - 101 km
6,CHRIS FROOME,1,TEAM SKY,1 PTS,,13,2017,,,,Mur de Péguère - 101 km
1,THOMAS DE GENDT,134,LOTTO SOUDAL,2 PTS,,14,2017,,,,Côte du viaduc du Viaur - 181.5 km
2,THOMAS VOECKLER,171,DIRECT ENERGIE,1 PTS,,14,2017,,,,Côte du viaduc du Viaur - 181.5 km
1,THOMAS DE GENDT,134,LOTTO SOUDAL,2 PTS,,14,2017,,,,Côte de Centrès - 181.5 km
2,THOMAS VOECKLER,171,DIRECT ENERGIE,1 PTS,,14,2017,,,,Côte de Centrès - 181.5 km
1,WARREN BARGUIL,143,TEAM SUNWEB,10 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
2,SERGE PAUWELS,96,TEAM DIMENSION DATA,8 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
3,DAMIANO CARUSO,42,BMC RACING TEAM,6 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
4,DYLAN VAN BAARLE,189,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,4 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
5,TSGABU GEBREMARYAM GRMAY,198,BAHRAIN - MERIDA,2 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
6,ROBERT KIŠERLOVSKI,124,TEAM KATUSHA ALPECIN,1 PTS,,15,2017,,,,Montée de Naves d'Aubrac (1 058 m) - 189.5 km
1,WARREN BARGUIL,143,TEAM SUNWEB,2 PTS,,15,2017,,,,Côte de Vieurals - 189.5 km
2,SERGE PAUWELS,96,TEAM DIMENSION DATA,1 PTS,,15,2017,,,,Côte de Vieurals - 189.5 km
1,WARREN BARGUIL,143,TEAM SUNWEB,10 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
2,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,8 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
3,TONY GALLOPIN,135,LOTTO SOUDAL,6 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
4,SERGE PAUWELS,96,TEAM DIMENSION DATA,4 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
5,DAMIANO CARUSO,42,BMC RACING TEAM,2 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
6,THIBAUT PINOT,78,FDJ,1 PTS,,15,2017,,,,Col de Peyra Taillade (1 190 m) - 189.5 km
1,BAUKE MOLLEMA,37,TREK - SEGAFREDO,1 PTS,,15,2017,,,,Côte de Saint-Vidal - 189.5 km
1,THOMAS DE GENDT,134,LOTTO SOUDAL,2 PTS,,16,2017,,,,Côte de Boussoulet - 165 km
2,SYLVAIN CHAVANEL,174,DIRECT ENERGIE,1 PTS,,16,2017,,,,Côte de Boussoulet - 165 km
1,WARREN BARGUIL,143,TEAM SUNWEB,1 PTS,,16,2017,,,,Col du Rouvey - 165 km
1,MICHAEL MATTHEWS,141,TEAM SUNWEB,5 PTS,,17,2017,,,,Col d'Ornon - 183 km
2,THOMAS DE GENDT,134,LOTTO SOUDAL,3 PTS,,17,2017,,,,Col d'Ornon - 183 km
3,SERGE PAUWELS,96,TEAM DIMENSION DATA,2 PTS,,17,2017,,,,Col d'Ornon - 183 km
4,SIMON GESCHKE,145,TEAM SUNWEB,1 PTS,,17,2017,,,,Col d'Ornon - 183 km
1,THOMAS DE GENDT,134,LOTTO SOUDAL,20 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
2,DANIEL NAVARRO GARCIA,157,"COFIDIS, SOLUTIONS CRÉDITS",15 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
3,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,12 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
4,BAUKE MOLLEMA,37,TREK - SEGAFREDO,10 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
5,TONY GALLOPIN,135,LOTTO SOUDAL,8 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
6,SERGE PAUWELS,96,TEAM DIMENSION DATA,6 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
7,JOHN DARWIN ATAPUMA HURTADO,62,UAE TEAM EMIRATES,4 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
8,BRICE FEILLU,213,TEAM FORTUNEO - OSCARO,2 PTS,,17,2017,,,,Col de la Croix de Fer (2 067 m) - 183 km
1,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,10 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
2,BAUKE MOLLEMA,37,TREK - SEGAFREDO,8 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
3,SERGE PAUWELS,96,TEAM DIMENSION DATA,6 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
4,ALBERTO CONTADOR,31,TREK - SEGAFREDO,4 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
5,BRICE FEILLU,213,TEAM FORTUNEO - OSCARO,2 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
6,TONY GALLOPIN,135,LOTTO SOUDAL,1 PTS,,17,2017,,,,Col du Télégraphe (1 566 m) - 183 km
1,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,20 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
2,JOHN DARWIN ATAPUMA HURTADO,62,UAE TEAM EMIRATES,15 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
3,WARREN BARGUIL,143,TEAM SUNWEB,12 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
4,ALBERTO CONTADOR,31,TREK - SEGAFREDO,10 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
5,ROMAIN BARDET,11,AG2R LA MONDIALE,8 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
6,CHRIS FROOME,1,TEAM SKY,6 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
7,RIGOBERTO URAN,188,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,4 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
8,DANIEL MARTIN,105,QUICK - STEP FLOORS,2 PTS,,17,2017,,,,Col du Galibier (2 642 m) Souvenir Henri Desgrange - 183 km
1,THOMAS DE GENDT,134,LOTTO SOUDAL,2 PTS,,18,2017,,,,Côte des Demoiselles Coiffées - 179.5 km
2,NICOLAS EDET,153,"COFIDIS, SOLUTIONS CRÉDITS",1 PTS,,18,2017,,,,Côte des Demoiselles Coiffées - 179.5 km
1,ALEXEY LUTSENKO,57,ASTANA PRO TEAM,10 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
2,TONY GALLOPIN,135,LOTTO SOUDAL,8 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
3,JOHN DARWIN ATAPUMA HURTADO,62,UAE TEAM EMIRATES,6 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
4,ROMAIN SICARD,178,DIRECT ENERGIE,4 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
5,DARYL IMPEY,86,ORICA - SCOTT,2 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
6,ANDREW TALANSKY,187,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,1 PTS,,18,2017,,,,Col de Vars (2 109 m) - 179.5 km
1,WARREN BARGUIL,143,TEAM SUNWEB,40 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
2,JOHN DARWIN ATAPUMA HURTADO,62,UAE TEAM EMIRATES,30 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
3,ROMAIN BARDET,11,AG2R LA MONDIALE,24 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
4,CHRIS FROOME,1,TEAM SKY,20 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
5,RIGOBERTO URAN,188,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,16 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
6,MIKEL LANDA MEANA,6,TEAM SKY,12 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
7,LOUIS MEINTJES,61,UAE TEAM EMIRATES,8 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
8,DANIEL MARTIN,105,QUICK - STEP FLOORS,4 PTS,,18,2017,,,,Col d'Izoard (2 360 m) - 179.5 km
1,ROMAIN SICARD,178,DIRECT ENERGIE,2 PTS,,19,2017,,,,Col Lebraut - 222.5 km
2,PIERRE ROLLAND,181,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,1 PTS,,19,2017,,,,Col Lebraut - 222.5 km
1,ROMAIN HARDY,215,TEAM FORTUNEO - OSCARO,2 PTS,,19,2017,,,,Côte de Bréziers - 222.5 km
2,THOMAS DE GENDT,134,LOTTO SOUDAL,1 PTS,,19,2017,,,,Côte de Bréziers - 222.5 km
1,ROMAIN SICARD,178,DIRECT ENERGIE,2 PTS,,19,2017,,,,Col du Pointu - 222.5 km
2,ELIE GESBERT,214,TEAM FORTUNEO - OSCARO,1 PTS,,19,2017,,,,Col du Pointu - 222.5 km
1,KÉVIN LEDANOIS,45,TEAM FORTUNEO - SAMSIC,1 PTS,,1,2018,,,,Côte de Vix - 173 km
1,DION SMITH,217,WANTY - GROUPE GOBERT,1 PTS,,2,2018,,,,Côte de Pouzauges - 28 km
1,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,4,2018,,,,Côte de Saint-Jean-la-Poterie - 135.5 km
1,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,1 PTS,,5,2018,,,,Côte de Kaliforn - 106 km
1,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,1 PTS,,5,2018,,,,Côte de Trimen - 113 km
1,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,2 PTS,,5,2018,,,,Côte de la Roche du Feu - 140.5 km
2,LILIAN CALMEJANE,181,DIRECT ENERGIE,1 PTS,,5,2018,,,,Côte de la Roche du Feu - 140.5 km
1,TOMS SKUJINS,197,TREK - SEGAFREDO,2 PTS,,5,2018,,,,Côte de Menez Quelerc'h - 159.5 km
2,LILIAN CALMEJANE,181,DIRECT ENERGIE,1 PTS,,5,2018,,,,Côte de Menez Quelerc'h - 159.5 km
1,TOMS SKUJINS,197,TREK - SEGAFREDO,2 PTS,,5,2018,,,,Côte de la montagne de Locronan - 181 km
2,LILIAN CALMEJANE,181,DIRECT ENERGIE,1 PTS,,5,2018,,,,Côte de la montagne de Locronan - 181 km
1,DION SMITH,217,WANTY - GROUPE GOBERT,2 PTS,,6,2018,,,,Côte de Ploudiry - 44 km
2,FABIEN GRELLIER,186,DIRECT ENERGIE,1 PTS,,6,2018,,,,Côte de Ploudiry - 44 km
1,DION SMITH,217,WANTY - GROUPE GOBERT,1 PTS,,6,2018,,,,Côte de Roc'h Trévézel - 68.5 km
1,TOMS SKUJINS,197,TREK - SEGAFREDO,2 PTS,,6,2018,,,,Mûr de Bretagne GUERLÉDAN (1er passage sur la ligne d'arrivée) - 165 km
2,JACK BAUER,62,MITCHELTON - SCOTT,1 PTS,,6,2018,,,,Mûr de Bretagne GUERLÉDAN (1er passage sur la ligne d'arrivée) - 165 km
1,DANIEL MARTIN,91,UAE TEAM EMIRATES,2 PTS,,6,2018,,,,MÛR-DE-BRETAGNE GUERLÉDAN - 181 km
2,PIERRE LATOUR,26,AG2R LA MONDIALE,1 PTS,,6,2018,,,,MÛR-DE-BRETAGNE GUERLÉDAN - 181 km
1,YOANN OFFREDO,215,WANTY - GROUPE GOBERT,1 PTS,,7,2018,,,,Côte du Buisson de Perseigne - 120 km
1,MARCO MINNAARD,214,WANTY - GROUPE GOBERT,1 PTS,,8,2018,,,,Côte de Pacy-sur-Eure - 35 km
1,FABIEN GRELLIER,186,DIRECT ENERGIE,1 PTS,,8,2018,,,,Côte de Feuquerolles - 71.5 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,1 PTS,,10,2018,,,,Col de Bluffy - 19 km
1,RUDY MOLARD,156,GROUPAMA - FDJ,10 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
2,REIN TAARAMÄE,188,DIRECT ENERGIE,8 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
3,DAVID GAUDU,152,GROUPAMA - FDJ,6 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
4,SERGE PAUWELS,134,TEAM DIMENSION DATA,4 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
5,PHILIPPE GILBERT,104,QUICK - STEP FLOORS,2 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
6,GREG VAN AVERMAET,87,BMC RACING TEAM,1 PTS,,10,2018,,,,Col de la Croix Fry (1 477 m) - 43 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,20 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
2,DAVID GAUDU,152,GROUPAMA - FDJ,15 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
3,RUDY MOLARD,156,GROUPAMA - FDJ,12 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
4,SERGE PAUWELS,134,TEAM DIMENSION DATA,10 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
5,GREG VAN AVERMAET,87,BMC RACING TEAM,8 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
6,REIN TAARAMÄE,188,DIRECT ENERGIE,6 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
7,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,4 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
8,ION IZAGIRRE INSAUSTI,55,BAHRAIN - MERIDA,2 PTS,,10,2018,,,,Montée du plateau des Glières - 68.5 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,10 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
2,REIN TAARAMÄE,188,DIRECT ENERGIE,8 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
3,SERGE PAUWELS,134,TEAM DIMENSION DATA,6 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
4,GREG VAN AVERMAET,87,BMC RACING TEAM,4 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
5,LILIAN CALMEJANE,181,DIRECT ENERGIE,2 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
6,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,1 PTS,,10,2018,,,,Col de Romme (1 297 m) - 130 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,10 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
2,ION IZAGIRRE INSAUSTI,55,BAHRAIN - MERIDA,8 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
3,REIN TAARAMÄE,188,DIRECT ENERGIE,6 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
4,SERGE PAUWELS,134,TEAM DIMENSION DATA,4 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
5,GREG VAN AVERMAET,87,BMC RACING TEAM,2 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
6,LILIAN CALMEJANE,181,DIRECT ENERGIE,1 PTS,,10,2018,,,,Col de la Colombière (1 618 m) - 144 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,20 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
2,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,15 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
3,THOMAS DE GENDT,174,LOTTO SOUDAL,12 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
4,SERGE PAUWELS,134,TEAM DIMENSION DATA,10 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
5,REIN TAARAMÄE,188,DIRECT ENERGIE,8 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
6,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",6 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
7,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,4 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
8,JHON DARWIN ATAPUMA HURTADO,92,UAE TEAM EMIRATES,2 PTS,,11,2018,,,,Montée de Bisanne (1 723 m) - 26 km
1,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,20 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
2,SERGE PAUWELS,134,TEAM DIMENSION DATA,15 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
3,ELIE GESBERT,43,TEAM FORTUNEO - SAMSIC,12 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
4,JHON DARWIN ATAPUMA HURTADO,92,UAE TEAM EMIRATES,10 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
5,JESUS HERRADA,204,"COFIDIS, SOLUTIONS CREDITS",8 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
6,DAMIANO CARUSO,83,BMC RACING TEAM,6 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
7,TANEL KANGERT,125,ASTANA PRO TEAM,4 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
8,MATHIAS FRANK,24,AG2R LA MONDIALE,2 PTS,,11,2018,,,,Col du Pré (1 748 m) - 57.5 km
1,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,5 PTS,,11,2018,,,,Cormet de Roselend (1 968 m) (D925-D902) - 70 km
2,JESUS HERRADA,204,"COFIDIS, SOLUTIONS CREDITS",3 PTS,,11,2018,,,,Cormet de Roselend (1 968 m) (D925-D902) - 70 km
3,ELIE GESBERT,43,TEAM FORTUNEO - SAMSIC,2 PTS,,11,2018,,,,Cormet de Roselend (1 968 m) (D925-D902) - 70 km
4,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,1 PTS,,11,2018,,,,Cormet de Roselend (1 968 m) (D925-D902) - 70 km
1,GERAINT THOMAS,8,TEAM SKY,10 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
2,TOM DUMOULIN,32,TEAM SUNWEB,8 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
3,CHRIS FROOME,1,TEAM SKY,6 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
4,DAMIANO CARUSO,83,BMC RACING TEAM,4 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
5,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,2 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
6,DANIEL MARTIN,91,UAE TEAM EMIRATES,1 PTS,,11,2018,,,,LA ROSIÈRE (1 855 m) - 108.5 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,20 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
2,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,15 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
3,SERGE PAUWELS,134,TEAM DIMENSION DATA,12 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
4,PIERRE ROLLAND,16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,10 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
5,RAFAL MAJKA,114,BORA - HANSGROHE,8 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
6,ANTHONY PEREZ,206,"COFIDIS, SOLUTIONS CREDITS",6 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
7,DAVID GAUDU,152,GROUPAMA - FDJ,4 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
8,GREGOR MÜHLBERGER,115,BORA - HANSGROHE,2 PTS,,12,2018,,,,Col de la Madeleine - 53.5 km
1,PIERRE ROLLAND,16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,5 PTS,,12,2018,,,,Lacets de Montvernier (782 m) - 83 km
2,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,3 PTS,,12,2018,,,,Lacets de Montvernier (782 m) - 83 km
3,SERGE PAUWELS,134,TEAM DIMENSION DATA,2 PTS,,12,2018,,,,Lacets de Montvernier (782 m) - 83 km
4,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,1 PTS,,12,2018,,,,Lacets de Montvernier (782 m) - 83 km
1,STEVEN KRUIJSWIJK,161,TEAM LOTTO NL - JUMBO,20 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
2,WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,15 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
3,MIKEL NIEVE ITURRALDE,68,MITCHELTON - SCOTT,12 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
4,RAFAL MAJKA,114,BORA - HANSGROHE,10 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
5,PIERRE ROLLAND,16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,8 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
6,ALEJANDRO VALVERDE,78,MOVISTAR TEAM,6 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
7,ROBERT GESINK,162,TEAM LOTTO NL - JUMBO,4 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
8,ILNUR ZAKARIN,141,TEAM KATUSHA ALPECIN,2 PTS,,12,2018,,,,Col de la Croix de Fer (2 067 m) - 121 km
1,GERAINT THOMAS,8,TEAM SKY,20 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
2,TOM DUMOULIN,32,TEAM SUNWEB,15 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
3,ROMAIN BARDET,21,AG2R LA MONDIALE,12 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
4,CHRIS FROOME,1,TEAM SKY,10 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
5,MIKEL LANDA MEANA,75,MOVISTAR TEAM,8 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
6,PRIMOŽ ROGLIČ,166,TEAM LOTTO NL - JUMBO,6 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
7,VINCENZO NIBALI,51,BAHRAIN - MERIDA,4 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
8,JAKOB FUGLSANG,121,ASTANA PRO TEAM,2 PTS,,12,2018,,,,ALPE D'HUEZ (1 850 m) - 175.5 km
1,THOMAS DE GENDT,174,LOTTO SOUDAL,2 PTS,,13,2018,,,,Côte de Brié - 32.5 km
2,TOM SCULLY,17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,1 PTS,,13,2018,,,,Côte de Brié - 32.5 km
1,TOM SCULLY,17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,1 PTS,,13,2018,,,,Côte de Sainte-Eulalie-en-Royans - 109.5 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,1 PTS,,14,2018,,,,Côte du Grand Châtaignier - 81 km
1,GORKA IZAGIRRE INSAUSTI,54,BAHRAIN - MERIDA,5 PTS,,14,2018,,,,Col de la Croix de Berthel (1 088 m) - 129 km
2,TOM-JELTE SLAGTER,136,TEAM DIMENSION DATA,3 PTS,,14,2018,,,,Col de la Croix de Berthel (1 088 m) - 129 km
3,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,2 PTS,,14,2018,,,,Col de la Croix de Berthel (1 088 m) - 129 km
4,PHILIPPE GILBERT,104,QUICK - STEP FLOORS,1 PTS,,14,2018,,,,Col de la Croix de Berthel (1 088 m) - 129 km
1,JASPER STUYVEN,198,TREK - SEGAFREDO,2 PTS,,14,2018,,,,Col du Pont sans Eau - 142 km
2,GORKA IZAGIRRE INSAUSTI,54,BAHRAIN - MERIDA,1 PTS,,14,2018,,,,Col du Pont sans Eau - 142 km
1,OMAR FRAILE MATARRANZ,122,ASTANA PRO TEAM,5 PTS,,14,2018,,,,Côte de la Croix Neuve (1 055 m) - 186.5 km
2,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,3 PTS,,14,2018,,,,Côte de la Croix Neuve (1 055 m) - 186.5 km
3,JASPER STUYVEN,198,TREK - SEGAFREDO,2 PTS,,14,2018,,,,Côte de la Croix Neuve (1 055 m) - 186.5 km
4,PETER SAGAN,111,BORA - HANSGROHE,1 PTS,,14,2018,,,,Côte de la Croix Neuve (1 055 m) - 186.5 km
1,JULIAN ALAPHILIPPE,101,QUICK - STEP FLOORS,2 PTS,,15,2018,,,,Côte de Luzençon - 9 km
2,DANIEL FELIPE MARTINEZ POVEDA,14,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,1 PTS,,15,2018,,,,Côte de Luzençon - 9 km
1,LILIAN CALMEJANE,181,DIRECT ENERGIE,5 PTS,,15,2018,,,,Col de Sié (928 m) - 64.5 km
2,SERGE PAUWELS,134,TEAM DIMENSION DATA,3 PTS,,15,2018,,,,Col de Sié (928 m) - 64.5 km
3,TOMS SKUJINS,197,TREK - SEGAFREDO,2 PTS,,15,2018,,,,Col de Sié (928 m) - 64.5 km
4,ARTHUR VICHOT,158,GROUPAMA - FDJ,1 PTS,,15,2018,,,,Col de Sié (928 m) - 64.5 km
1,RAFAL MAJKA,114,BORA - HANSGROHE,10 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
2,BAUKE MOLLEMA,191,TREK - SEGAFREDO,8 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
3,MAGNUS CORT NIELSEN,126,ASTANA PRO TEAM,6 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
4,LILIAN CALMEJANE,181,DIRECT ENERGIE,4 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
5,MICHAEL VALGREN HUNDAHL,128,ASTANA PRO TEAM,2 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
6,DOMENICO POZZOVIVO,58,BAHRAIN - MERIDA,1 PTS,,15,2018,,,,Pic de Nore (1 205 m) - 140 km
