Rank,Rider,Rider No.,Team,Times,Gap,Stages,Year,B,P
1,JUAN ANTONIO FLECHA GIANNONI,204,VACANSOLEIL-DCM,00h 00' 00'',-,12,2013,,
1,MARK CAVENDISH,151,OMEGA PHARMA-QUICK STEP,00h 00' 00'',-,13,2013,,
1,JULIEN SIMON,218,SOJASUN,00h 00' 00'',-,14,2013,,
1,SYLVAIN CHAVANEL,152,OMEGA PHARMA-QUICK STEP,00h 00' 00'',-,15,2013,,
1,RUI COSTA,124,MOVISTAR TEAM,00h 00' 00'',-,16,2013,,
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,00h 00' 00'',-,18,2013,,
1,PIERRE ROLLAND,51,TEAM EUROPCAR,00h 00' 00'',-,19,2013,,
1,JENS VOIGT,48,RADIOSHACK LEOPARD,00h 00' 00'',-,20,2013,,
1,JENS VOIGT,168,TREK FACTORY RACING,00h 00' 00'',-,1,2014,,
1,BLEL KADRI,86,AG2R LA MONDIALE,00h 00' 00'',-,2,2014,,
1,JAN BARTA,202,TEAM NETAPP-ENDURA,00h 00' 00'',-,3,2014,,
1,THOMAS VOECKLER,159,TEAM EUROPCAR,00h 00' 00'',-,4,2014,,
1,LIEUWE WESTRA,49,ASTANA PRO TEAM,00h 00' 00'',-,5,2014,,
1,LUIS ANGEL MATE MARDONES,175,"COFIDIS, SOLUTIONS CREDITS",00h 00' 00'',-,6,2014,,
1,MARTIN ELMIGER,193,IAM CYCLING,00h 00' 00'',-,7,2014,,
1,BLEL KADRI,86,AG2R LA MONDIALE,00h 00' 00'',-,8,2014,,
1,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,00h 00' 00'',-,9,2014,,
1,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,00h 00' 00'',-,10,2014,,
1,NICOLAS ROCHE,37,TINKOFF-SAXO,00h 00' 00'',-,11,2014,,
1,SIMON CLARKE,183,ORICA GREENEDGE,00h 00' 00'',-,12,2014,,
1,ALESSANDRO DE MARCHI,53,CANNONDALE,00h 00' 00'',-,13,2014,,
1,ALESSANDRO DE MARCHI,53,CANNONDALE,00h 00' 00'',-,14,2014,,
1,MARTIN ELMIGER,193,IAM CYCLING,00h 00' 00'',-,15,2014,,
1,CYRIL GAUTIER,154,TEAM EUROPCAR,00h 00' 00'',-,16,2014,,
1,ROMAIN BARDET,82,AG2R LA MONDIALE,00h 00' 00'',-,17,2014,,
1,MIKEL NIEVE ITURRALDE,5,TEAM SKY,00h 00' 00'',-,18,2014,,
1,TOM-JELTE SLAGTER,98,GARMIN - SHARP,00h 00' 00'',-,19,2014,,
1,MICHAL KWIATKOWSKI,111,ETIXX-QUICK STEP,00h 00' 00'',-,2,2015,,
1,JAN BARTA,192,BORA-ARGON 18,00h 00' 00'',-,3,2015,,
1,VINCENZO NIBALI,1,ASTANA PRO TEAM,00h 00' 00'',-,4,2015,,
1,MICHAEL MATTHEWS,105,ORICA GREENEDGE,00h 00' 00'',-,5,2015,,
1,PERRIG QUEMENEUR,126,TEAM EUROPCAR,00h 00' 00'',-,6,2015,,
1,ANTHONY DELAPLACE,203,BRETAGNE - SECHE ENVIRONNEMENT,00h 00' 00'',-,7,2015,,
1,BARTOSZ HUZARSKI,196,BORA-ARGON 18,00h 00' 00'',-,8,2015,,
1,KENNETH VANBILSEN,179,"COFIDIS, SOLUTIONS CREDITS",00h 00' 00'',-,10,2015,,
1,DANIEL MARTIN,167,TEAM CANNONDALE-GARMIN,00h 00' 00'',-,11,2015,,
1,MICHAL KWIATKOWSKI,111,ETIXX-QUICK STEP,00h 00' 00'',-,12,2015,,
1,THOMAS DE GENDT,73,LOTTO-SOUDAL,00h 00' 00'',-,13,2015,,
1,PIERRE LUC PERICHON,208,BRETAGNE - SECHE ENVIRONNEMENT,00h 00' 00'',-,14,2015,,
1,PETER SAGAN,47,TINKOFF-SAXO,00h 00' 00'',-,15,2015,,
1,PETER SAGAN,47,TINKOFF-SAXO,00h 00' 00'',-,16,2015,,
1,SIMON GESCHKE,86,TEAM GIANT-ALPECIN,00h 00' 00'',-,17,2015,,
1,ROMAIN BARDET,12,AG2R LA MONDIALE,00h 00' 00'',-,18,2015,,
1,PIERRE ROLLAND,121,TEAM EUROPCAR,00h 00' 00'',-,19,2015,,
1,ALEXANDRE GENIEZ,25,FDJ,00h 00' 00'',-,20,2015,,
1,ANTHONY DELAPLACE,213,FORTUNEO - VITAL CONCEPT,00h 00' 00'',-,1,2016,,
1,JASPER STUYVEN,67,TREK - SEGAFREDO,00h 00' 00'',-,2,2016,,
1,THOMAS VOECKLER,179,DIRECT ENERGIE,00h 00' 00'',-,3,2016,,
1,OLIVER NAESEN,78,IAM CYCLING,00h 00' 00'',-,4,2016,,
1,THOMAS DE GENDT,163,LOTTO SOUDAL,00h 00' 00'',-,5,2016,,
1,YUKIYA ARASHIRO,152,LAMPRE - MERIDA,00h 00' 00'',-,6,2016,,
1,VINCENZO NIBALI,22,ASTANA PRO TEAM,00h 00' 00'',-,7,2016,,
1,THIBAUT PINOT,121,FDJ,00h 00' 00'',-,8,2016,,
1,TOM DUMOULIN,114,TEAM GIANT-ALPECIN,00h 00' 00'',-,9,2016,,
1,PETER SAGAN,32,TINKOFF,00h 00' 00'',-,10,2016,,
1,ARTHUR VICHOT,129,FDJ,00h 00' 00'',-,11,2016,,
1,THOMAS DE GENDT,163,LOTTO SOUDAL,00h 00' 00'',-,12,2016,,
1,JÉRÉMY ROY,128,FDJ,00h 00' 00'',-,14,2016,,
1,RAFAL MAJKA,37,TINKOFF,00h 00' 00'',-,15,2016,,
1,JULIAN ALAPHILIPPE,182,ETIXX-QUICK STEP,00h 00' 00'',-,16,2016,,
1,JARLINSON PANTANO GOMEZ,79,IAM CYCLING,00h 00' 00'',-,17,2016,,
1,RUI COSTA,151,LAMPRE - MERIDA,00h 00' 00'',-,19,2016,,
1,JARLINSON PANTANO GOMEZ,79,IAM CYCLING,00h 00' 00'',-,20,2016,,
1,YOANN OFFREDO,205,WANTY - GROUPE GOBERT,00h 00' 00'',-,2,2017,,
