Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
9,TEAM LOTTO NL - JUMBO,116h 30' 56'',+ 01h 05' 31'',9,2017,,,,
10,TEAM FORTUNEO - OSCARO,116h 32' 50'',+ 01h 07' 25'',9,2017,,,,
11,LOTTO SOUDAL,116h 37' 34'',+ 01h 12' 09'',9,2017,,,,
12,BORA - HANSGROHE,116h 38' 23'',+ 01h 12' 58'',9,2017,,,,
13,QUICK - STEP FLOORS,116h 46' 55'',+ 01h 21' 30'',9,2017,,,,
14,WANTY - GROUPE GOBERT,116h 47' 55'',+ 01h 22' 30'',9,2017,,,,
15,TEAM SUNWEB,116h 51' 21'',+ 01h 25' 56'',9,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",116h 55' 02'',+ 01h 29' 37'',9,2017,,,,
17,DIRECT ENERGIE,117h 04' 37'',+ 01h 39' 12'',9,2017,,,,
18,UAE TEAM EMIRATES,117h 14' 12'',+ 01h 48' 47'',9,2017,,,,
19,BAHRAIN - MERIDA,117h 30' 42'',+ 02h 05' 17'',9,2017,,,,
20,FDJ,117h 31' 51'',+ 02h 06' 26'',9,2017,,,,
21,TEAM KATUSHA ALPECIN,117h 34' 27'',+ 02h 09' 02'',9,2017,,,,
22,TEAM DIMENSION DATA,117h 45' 43'',+ 02h 20' 18'',9,2017,,,,
1,TEAM SKY,127h 28' 25'',-,10,2017,,,,
2,AG2R LA MONDIALE,127h 35' 37'',+ 00h 07' 12'',10,2017,,,,
3,ASTANA PRO TEAM,127h 54' 42'',+ 00h 26' 17'',10,2017,,,,
4,TREK - SEGAFREDO,127h 55' 51'',+ 00h 27' 26'',10,2017,,,,
5,MOVISTAR TEAM,128h 06' 39'',+ 00h 38' 14'',10,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,128h 10' 38'',+ 00h 42' 13'',10,2017,,,,
7,ORICA - SCOTT,128h 14' 22'',+ 00h 45' 57'',10,2017,,,,
8,BMC RACING TEAM,128h 20' 04'',+ 00h 51' 39'',10,2017,,,,
9,TEAM LOTTO NL - JUMBO,128h 33' 56'',+ 01h 05' 31'',10,2017,,,,
10,TEAM FORTUNEO - OSCARO,128h 35' 50'',+ 01h 07' 25'',10,2017,,,,
11,LOTTO SOUDAL,128h 40' 34'',+ 01h 12' 09'',10,2017,,,,
12,BORA - HANSGROHE,128h 41' 23'',+ 01h 12' 58'',10,2017,,,,
13,QUICK - STEP FLOORS,128h 49' 55'',+ 01h 21' 30'',10,2017,,,,
14,WANTY - GROUPE GOBERT,128h 50' 55'',+ 01h 22' 30'',10,2017,,,,
15,TEAM SUNWEB,128h 54' 21'',+ 01h 25' 56'',10,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",128h 58' 02'',+ 01h 29' 37'',10,2017,,,,
17,DIRECT ENERGIE,129h 08' 28'',+ 01h 40' 03'',10,2017,,,,
18,UAE TEAM EMIRATES,129h 17' 12'',+ 01h 48' 47'',10,2017,,,,
19,BAHRAIN - MERIDA,129h 33' 42'',+ 02h 05' 17'',10,2017,,,,
20,FDJ,129h 34' 51'',+ 02h 06' 26'',10,2017,,,,
21,TEAM KATUSHA ALPECIN,129h 37' 27'',+ 02h 09' 02'',10,2017,,,,
22,TEAM DIMENSION DATA,129h 48' 43'',+ 02h 20' 18'',10,2017,,,,
1,TEAM SKY,141h 11' 46'',-,11,2017,,,,
2,AG2R LA MONDIALE,141h 18' 58'',+ 00h 07' 12'',11,2017,,,,
3,ASTANA PRO TEAM,141h 38' 03'',+ 00h 26' 17'',11,2017,,,,
4,TREK - SEGAFREDO,141h 39' 12'',+ 00h 27' 26'',11,2017,,,,
5,MOVISTAR TEAM,141h 50' 00'',+ 00h 38' 14'',11,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,141h 53' 59'',+ 00h 42' 13'',11,2017,,,,
7,ORICA - SCOTT,141h 57' 43'',+ 00h 45' 57'',11,2017,,,,
8,BMC RACING TEAM,142h 03' 25'',+ 00h 51' 39'',11,2017,,,,
9,TEAM LOTTO NL - JUMBO,142h 17' 17'',+ 01h 05' 31'',11,2017,,,,
10,TEAM FORTUNEO - OSCARO,142h 19' 11'',+ 01h 07' 25'',11,2017,,,,
11,LOTTO SOUDAL,142h 23' 55'',+ 01h 12' 09'',11,2017,,,,
12,BORA - HANSGROHE,142h 24' 44'',+ 01h 12' 58'',11,2017,,,,
13,QUICK - STEP FLOORS,142h 33' 16'',+ 01h 21' 30'',11,2017,,,,
14,WANTY - GROUPE GOBERT,142h 34' 16'',+ 01h 22' 30'',11,2017,,,,
15,TEAM SUNWEB,142h 37' 42'',+ 01h 25' 56'',11,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",142h 41' 23'',+ 01h 29' 37'',11,2017,,,,
17,DIRECT ENERGIE,142h 51' 49'',+ 01h 40' 03'',11,2017,,,,
18,UAE TEAM EMIRATES,143h 00' 33'',+ 01h 48' 47'',11,2017,,,,
19,BAHRAIN - MERIDA,143h 17' 03'',+ 02h 05' 17'',11,2017,,,,
20,FDJ,143h 18' 12'',+ 02h 06' 26'',11,2017,,,,
21,TEAM KATUSHA ALPECIN,143h 20' 48'',+ 02h 09' 02'',11,2017,,,,
22,TEAM DIMENSION DATA,143h 32' 04'',+ 02h 20' 18'',11,2017,,,,
1,TEAM SKY,158h 42' 35'',-,12,2017,,,,
2,AG2R LA MONDIALE,158h 55' 27'',+ 00h 12' 52'',12,2017,,,,
3,TREK - SEGAFREDO,159h 29' 18'',+ 00h 46' 43'',12,2017,,,,
4,MOVISTAR TEAM,159h 37' 09'',+ 00h 54' 34'',12,2017,,,,
5,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,159h 41' 11'',+ 00h 58' 36'',12,2017,,,,
6,ASTANA PRO TEAM,159h 46' 23'',+ 01h 03' 48'',12,2017,,,,
7,BMC RACING TEAM,159h 57' 13'',+ 01h 14' 38'',12,2017,,,,
8,ORICA - SCOTT,160h 00' 03'',+ 01h 17' 28'',12,2017,,,,
9,TEAM FORTUNEO - OSCARO,160h 16' 46'',+ 01h 34' 11'',12,2017,,,,
10,TEAM LOTTO NL - JUMBO,160h 23' 44'',+ 01h 41' 09'',12,2017,,,,
11,LOTTO SOUDAL,160h 27' 35'',+ 01h 45' 00'',12,2017,,,,
12,WANTY - GROUPE GOBERT,160h 37' 19'',+ 01h 54' 44'',12,2017,,,,
13,QUICK - STEP FLOORS,160h 42' 49'',+ 02h 00' 14'',12,2017,,,,
14,"COFIDIS, SOLUTIONS CRÉDITS",160h 56' 03'',+ 02h 13' 28'',12,2017,,,,
15,TEAM SUNWEB,160h 56' 54'',+ 02h 14' 19'',12,2017,,,,
16,BORA - HANSGROHE,160h 57' 59'',+ 02h 15' 24'',12,2017,,,,
17,DIRECT ENERGIE,161h 03' 27'',+ 02h 20' 52'',12,2017,,,,
18,UAE TEAM EMIRATES,161h 06' 03'',+ 02h 23' 28'',12,2017,,,,
19,BAHRAIN - MERIDA,161h 36' 21'',+ 02h 53' 46'',12,2017,,,,
20,TEAM DIMENSION DATA,161h 43' 42'',+ 03h 01' 07'',12,2017,,,,
21,FDJ,161h 47' 40'',+ 03h 05' 05'',12,2017,,,,
22,TEAM KATUSHA ALPECIN,161h 51' 23'',+ 03h 08' 48'',12,2017,,,,
1,TEAM SKY,166h 35' 40'',-,13,2017,,,,
2,AG2R LA MONDIALE,166h 54' 58'',+ 00h 19' 18'',13,2017,,,,
3,MOVISTAR TEAM,167h 36' 40'',+ 01h 01' 00'',13,2017,,,,
4,TREK - SEGAFREDO,167h 41' 04'',+ 01h 05' 24'',13,2017,,,,
5,ASTANA PRO TEAM,168h 01' 18'',+ 01h 25' 38'',13,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,168h 02' 27'',+ 01h 26' 47'',13,2017,,,,
7,BMC RACING TEAM,168h 04' 46'',+ 01h 29' 06'',13,2017,,,,
8,ORICA - SCOTT,168h 11' 28'',+ 01h 35' 48'',13,2017,,,,
9,TEAM FORTUNEO - OSCARO,168h 28' 07'',+ 01h 52' 27'',13,2017,,,,
10,TEAM LOTTO NL - JUMBO,168h 38' 59'',+ 02h 03' 19'',13,2017,,,,
11,LOTTO SOUDAL,168h 51' 38'',+ 02h 15' 58'',13,2017,,,,
12,WANTY - GROUPE GOBERT,168h 53' 13'',+ 02h 17' 33'',13,2017,,,,
13,QUICK - STEP FLOORS,169h 03' 56'',+ 02h 28' 16'',13,2017,,,,
14,UAE TEAM EMIRATES,169h 09' 25'',+ 02h 33' 45'',13,2017,,,,
15,TEAM SUNWEB,169h 16' 22'',+ 02h 40' 42'',13,2017,,,,
16,DIRECT ENERGIE,169h 21' 12'',+ 02h 45' 32'',13,2017,,,,
17,"COFIDIS, SOLUTIONS CRÉDITS",169h 22' 48'',+ 02h 47' 08'',13,2017,,,,
18,BORA - HANSGROHE,169h 22' 56'',+ 02h 47' 16'',13,2017,,,,
19,TEAM DIMENSION DATA,170h 08' 39'',+ 03h 32' 59'',13,2017,,,,
20,BAHRAIN - MERIDA,170h 08' 48'',+ 03h 33' 08'',13,2017,,,,
21,TEAM KATUSHA ALPECIN,170h 26' 32'',+ 03h 50' 52'',13,2017,,,,
22,FDJ,170h 27' 53'',+ 03h 52' 13'',13,2017,,,,
1,TEAM SKY,179h 42' 14'',-,14,2017,,,,
2,AG2R LA MONDIALE,180h 01' 21'',+ 00h 19' 07'',14,2017,,,,
3,MOVISTAR TEAM,180h 44' 45'',+ 01h 02' 31'',14,2017,,,,
4,TREK - SEGAFREDO,180h 48' 36'',+ 01h 06' 22'',14,2017,,,,
5,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,181h 09' 43'',+ 01h 27' 29'',14,2017,,,,
6,ASTANA PRO TEAM,181h 11' 03'',+ 01h 28' 49'',14,2017,,,,
7,BMC RACING TEAM,181h 12' 57'',+ 01h 30' 43'',14,2017,,,,
8,ORICA - SCOTT,181h 18' 56'',+ 01h 36' 42'',14,2017,,,,
9,TEAM FORTUNEO - OSCARO,181h 35' 32'',+ 01h 53' 18'',14,2017,,,,
10,TEAM LOTTO NL - JUMBO,181h 51' 42'',+ 02h 09' 28'',14,2017,,,,
11,LOTTO SOUDAL,181h 59' 06'',+ 02h 16' 52'',14,2017,,,,
12,WANTY - GROUPE GOBERT,182h 00' 56'',+ 02h 18' 42'',14,2017,,,,
13,QUICK - STEP FLOORS,182h 09' 51'',+ 02h 27' 37'',14,2017,,,,
14,UAE TEAM EMIRATES,182h 16' 42'',+ 02h 34' 28'',14,2017,,,,
15,TEAM SUNWEB,182h 23' 54'',+ 02h 41' 40'',14,2017,,,,
16,DIRECT ENERGIE,182h 28' 18'',+ 02h 46' 04'',14,2017,,,,
17,BORA - HANSGROHE,182h 30' 02'',+ 02h 47' 48'',14,2017,,,,
18,"COFIDIS, SOLUTIONS CRÉDITS",182h 33' 25'',+ 02h 51' 11'',14,2017,,,,
19,TEAM DIMENSION DATA,183h 17' 18'',+ 03h 35' 04'',14,2017,,,,
20,BAHRAIN - MERIDA,183h 23' 31'',+ 03h 41' 17'',14,2017,,,,
21,TEAM KATUSHA ALPECIN,183h 35' 18'',+ 03h 53' 04'',14,2017,,,,
22,FDJ,183h 36' 47'',+ 03h 54' 33'',14,2017,,,,
1,TEAM SKY,194h 10' 44'',-,15,2017,,,,
2,AG2R LA MONDIALE,194h 20' 36'',+ 00h 09' 52'',15,2017,,,,
3,TREK - SEGAFREDO,195h 12' 02'',+ 01h 01' 18'',15,2017,,,,
4,BMC RACING TEAM,195h 21' 34'',+ 01h 10' 50'',15,2017,,,,
5,MOVISTAR TEAM,195h 22' 24'',+ 01h 11' 40'',15,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,195h 41' 05'',+ 01h 30' 21'',15,2017,,,,
7,ASTANA PRO TEAM,195h 51' 08'',+ 01h 40' 24'',15,2017,,,,
8,ORICA - SCOTT,195h 51' 34'',+ 01h 40' 50'',15,2017,,,,
9,TEAM FORTUNEO - OSCARO,195h 57' 38'',+ 01h 46' 54'',15,2017,,,,
10,LOTTO SOUDAL,196h 12' 01'',+ 02h 01' 17'',15,2017,,,,
11,TEAM LOTTO NL - JUMBO,196h 24' 26'',+ 02h 13' 42'',15,2017,,,,
12,UAE TEAM EMIRATES,196h 37' 57'',+ 02h 27' 13'',15,2017,,,,
13,TEAM SUNWEB,196h 40' 53'',+ 02h 30' 09'',15,2017,,,,
14,DIRECT ENERGIE,196h 51' 34'',+ 02h 40' 50'',15,2017,,,,
15,WANTY - GROUPE GOBERT,196h 53' 57'',+ 02h 43' 13'',15,2017,,,,
16,QUICK - STEP FLOORS,197h 02' 59'',+ 02h 52' 15'',15,2017,,,,
17,"COFIDIS, SOLUTIONS CRÉDITS",197h 03' 04'',+ 02h 52' 20'',15,2017,,,,
18,BORA - HANSGROHE,197h 29' 05'',+ 03h 18' 21'',15,2017,,,,
19,TEAM KATUSHA ALPECIN,197h 57' 20'',+ 03h 46' 36'',15,2017,,,,
20,BAHRAIN - MERIDA,198h 04' 43'',+ 03h 53' 59'',15,2017,,,,
21,TEAM DIMENSION DATA,198h 13' 51'',+ 04h 03' 07'',15,2017,,,,
22,FDJ,198h 24' 48'',+ 04h 14' 04'',15,2017,,,,
1,TEAM SKY,205h 06' 20'',-,16,2017,,,,
2,AG2R LA MONDIALE,205h 16' 27'',+ 00h 10' 07'',16,2017,,,,
3,TREK - SEGAFREDO,206h 10' 03'',+ 01h 03' 43'',16,2017,,,,
4,BMC RACING TEAM,206h 16' 19'',+ 01h 09' 59'',16,2017,,,,
5,MOVISTAR TEAM,206h 17' 37'',+ 01h 11' 17'',16,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,206h 39' 32'',+ 01h 33' 12'',16,2017,,,,
7,ORICA - SCOTT,206h 47' 10'',+ 01h 40' 50'',16,2017,,,,
8,ASTANA PRO TEAM,206h 51' 26'',+ 01h 45' 06'',16,2017,,,,
9,TEAM FORTUNEO - OSCARO,206h 54' 47'',+ 01h 48' 27'',16,2017,,,,
10,LOTTO SOUDAL,207h 08' 11'',+ 02h 01' 51'',16,2017,,,,
11,TEAM SUNWEB,207h 36' 00'',+ 02h 29' 40'',16,2017,,,,
12,UAE TEAM EMIRATES,207h 36' 39'',+ 02h 30' 19'',16,2017,,,,
13,DIRECT ENERGIE,207h 50' 52'',+ 02h 44' 32'',16,2017,,,,
14,TEAM LOTTO NL - JUMBO,207h 54' 40'',+ 02h 48' 20'',16,2017,,,,
15,WANTY - GROUPE GOBERT,207h 57' 18'',+ 02h 50' 58'',16,2017,,,,
16,QUICK - STEP FLOORS,208h 02' 52'',+ 02h 56' 32'',16,2017,,,,
17,"COFIDIS, SOLUTIONS CRÉDITS",208h 04' 51'',+ 02h 58' 31'',16,2017,,,,
18,BORA - HANSGROHE,208h 25' 32'',+ 03h 19' 12'',16,2017,,,,
19,TEAM KATUSHA ALPECIN,208h 59' 25'',+ 03h 53' 05'',16,2017,,,,
20,BAHRAIN - MERIDA,209h 06' 24'',+ 04h 00' 04'',16,2017,,,,
21,TEAM DIMENSION DATA,209h 08' 59'',+ 04h 02' 39'',16,2017,,,,
22,FDJ,209h 32' 30'',+ 04h 26' 10'',16,2017,,,,
1,TEAM SKY,220h 37' 52'',-,17,2017,,,,
2,AG2R LA MONDIALE,220h 48' 27'',+ 00h 10' 35'',17,2017,,,,
3,BMC RACING TEAM,222h 15' 22'',+ 01h 37' 30'',17,2017,,,,
4,TREK - SEGAFREDO,222h 17' 29'',+ 01h 39' 37'',17,2017,,,,
5,MOVISTAR TEAM,222h 26' 02'',+ 01h 48' 10'',17,2017,,,,
6,ORICA - SCOTT,222h 42' 58'',+ 02h 05' 06'',17,2017,,,,
7,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,222h 44' 19'',+ 02h 06' 27'',17,2017,,,,
8,ASTANA PRO TEAM,222h 57' 41'',+ 02h 19' 49'',17,2017,,,,
9,LOTTO SOUDAL,223h 11' 43'',+ 02h 33' 51'',17,2017,,,,
10,TEAM FORTUNEO - OSCARO,223h 15' 56'',+ 02h 38' 04'',17,2017,,,,
11,UAE TEAM EMIRATES,223h 20' 08'',+ 02h 42' 16'',17,2017,,,,
12,TEAM SUNWEB,223h 52' 50'',+ 03h 14' 58'',17,2017,,,,
13,WANTY - GROUPE GOBERT,224h 10' 24'',+ 03h 32' 32'',17,2017,,,,
14,DIRECT ENERGIE,224h 12' 12'',+ 03h 34' 20'',17,2017,,,,
15,"COFIDIS, SOLUTIONS CRÉDITS",224h 18' 30'',+ 03h 40' 38'',17,2017,,,,
16,TEAM LOTTO NL - JUMBO,224h 25' 05'',+ 03h 47' 13'',17,2017,,,,
17,QUICK - STEP FLOORS,224h 30' 05'',+ 03h 52' 13'',17,2017,,,,
18,BORA - HANSGROHE,224h 58' 49'',+ 04h 20' 57'',17,2017,,,,
19,BAHRAIN - MERIDA,225h 41' 56'',+ 05h 04' 04'',17,2017,,,,
20,TEAM DIMENSION DATA,225h 42' 34'',+ 05h 04' 42'',17,2017,,,,
21,TEAM KATUSHA ALPECIN,225h 46' 33'',+ 05h 08' 41'',17,2017,,,,
22,FDJ,226h 19' 38'',+ 05h 41' 46'',17,2017,,,,
1,TEAM SKY,234h 42' 38'',-,18,2017,,,,
2,AG2R LA MONDIALE,234h 57' 56'',+ 00h 15' 18'',18,2017,,,,
3,BMC RACING TEAM,236h 30' 13'',+ 01h 47' 35'',18,2017,,,,
4,TREK - SEGAFREDO,236h 35' 19'',+ 01h 52' 41'',18,2017,,,,
5,MOVISTAR TEAM,236h 48' 03'',+ 02h 05' 25'',18,2017,,,,
6,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,236h 56' 02'',+ 02h 13' 24'',18,2017,,,,
7,ORICA - SCOTT,236h 56' 25'',+ 02h 13' 47'',18,2017,,,,
8,ASTANA PRO TEAM,237h 07' 25'',+ 02h 24' 47'',18,2017,,,,
9,TEAM FORTUNEO - OSCARO,237h 30' 04'',+ 02h 47' 26'',18,2017,,,,
10,LOTTO SOUDAL,237h 31' 10'',+ 02h 48' 32'',18,2017,,,,
11,UAE TEAM EMIRATES,237h 31' 32'',+ 02h 48' 54'',18,2017,,,,
12,TEAM SUNWEB,238h 16' 03'',+ 03h 33' 25'',18,2017,,,,
13,WANTY - GROUPE GOBERT,238h 30' 38'',+ 03h 48' 00'',18,2017,,,,
14,DIRECT ENERGIE,238h 45' 56'',+ 04h 03' 18'',18,2017,,,,
15,QUICK - STEP FLOORS,238h 52' 25'',+ 04h 09' 47'',18,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",238h 53' 23'',+ 04h 10' 45'',18,2017,,,,
17,TEAM LOTTO NL - JUMBO,239h 24' 36'',+ 04h 41' 58'',18,2017,,,,
18,BORA - HANSGROHE,240h 01' 49'',+ 05h 19' 11'',18,2017,,,,
19,TEAM KATUSHA ALPECIN,240h 20' 15'',+ 05h 37' 37'',18,2017,,,,
20,BAHRAIN - MERIDA,240h 24' 25'',+ 05h 41' 47'',18,2017,,,,
21,TEAM DIMENSION DATA,240h 39' 40'',+ 05h 57' 02'',18,2017,,,,
22,FDJ,241h 26' 10'',+ 06h 43' 32'',18,2017,,,,
1,TEAM SKY,250h 38' 26'',-,19,2017,,,,
2,AG2R LA MONDIALE,250h 41' 34'',+ 00h 03' 08'',19,2017,,,,
3,TREK - SEGAFREDO,252h 20' 17'',+ 01h 41' 51'',19,2017,,,,
4,BMC RACING TEAM,252h 26' 01'',+ 01h 47' 35'',19,2017,,,,
5,ORICA - SCOTT,252h 27' 55'',+ 01h 49' 29'',19,2017,,,,
6,MOVISTAR TEAM,252h 31' 41'',+ 01h 53' 15'',19,2017,,,,
7,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,252h 51' 50'',+ 02h 13' 24'',19,2017,,,,
8,TEAM FORTUNEO - OSCARO,252h 51' 57'',+ 02h 13' 31'',19,2017,,,,
9,ASTANA PRO TEAM,253h 03' 13'',+ 02h 24' 47'',19,2017,,,,
10,LOTTO SOUDAL,253h 03' 58'',+ 02h 25' 32'',19,2017,,,,
11,UAE TEAM EMIRATES,253h 16' 30'',+ 02h 38' 04'',19,2017,,,,
12,TEAM SUNWEB,253h 59' 29'',+ 03h 21' 03'',19,2017,,,,
13,DIRECT ENERGIE,254h 07' 54'',+ 03h 29' 28'',19,2017,,,,
14,WANTY - GROUPE GOBERT,254h 26' 26'',+ 03h 48' 00'',19,2017,,,,
15,QUICK - STEP FLOORS,254h 37' 23'',+ 03h 58' 57'',19,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",254h 38' 21'',+ 03h 59' 55'',19,2017,,,,
17,TEAM LOTTO NL - JUMBO,255h 20' 24'',+ 04h 41' 58'',19,2017,,,,
18,BORA - HANSGROHE,255h 57' 37'',+ 05h 19' 11'',19,2017,,,,
19,TEAM KATUSHA ALPECIN,256h 05' 13'',+ 05h 26' 47'',19,2017,,,,
20,BAHRAIN - MERIDA,256h 20' 13'',+ 05h 41' 47'',19,2017,,,,
21,TEAM DIMENSION DATA,256h 23' 01'',+ 05h 44' 35'',19,2017,,,,
22,FDJ,257h 11' 08'',+ 06h 32' 42'',19,2017,,,,
1,TEAM SKY,252h 04' 09'',-,20,2017,,,,
2,AG2R LA MONDIALE,252h 11' 23'',+ 00h 07' 14'',20,2017,,,,
3,TREK - SEGAFREDO,253h 48' 55'',+ 01h 44' 46'',20,2017,,,,
4,BMC RACING TEAM,253h 53' 58'',+ 01h 49' 49'',20,2017,,,,
5,ORICA - SCOTT,253h 56' 30'',+ 01h 52' 21'',20,2017,,,,
6,MOVISTAR TEAM,254h 00' 01'',+ 01h 55' 52'',20,2017,,,,
7,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,254h 19' 34'',+ 02h 15' 25'',20,2017,,,,
8,TEAM FORTUNEO - OSCARO,254h 22' 27'',+ 02h 18' 18'',20,2017,,,,
9,LOTTO SOUDAL,254h 32' 27'',+ 02h 28' 18'',20,2017,,,,
10,ASTANA PRO TEAM,254h 32' 48'',+ 02h 28' 39'',20,2017,,,,
11,UAE TEAM EMIRATES,254h 46' 52'',+ 02h 42' 43'',20,2017,,,,
12,TEAM SUNWEB,255h 27' 47'',+ 03h 23' 38'',20,2017,,,,
13,DIRECT ENERGIE,255h 36' 44'',+ 03h 32' 35'',20,2017,,,,
14,WANTY - GROUPE GOBERT,255h 58' 39'',+ 03h 54' 30'',20,2017,,,,
15,QUICK - STEP FLOORS,256h 06' 28'',+ 04h 02' 19'',20,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",256h 10' 14'',+ 04h 06' 05'',20,2017,,,,
17,TEAM LOTTO NL - JUMBO,256h 50' 53'',+ 04h 46' 44'',20,2017,,,,
18,BORA - HANSGROHE,257h 26' 16'',+ 05h 22' 07'',20,2017,,,,
19,TEAM KATUSHA ALPECIN,257h 33' 20'',+ 05h 29' 11'',20,2017,,,,
20,BAHRAIN - MERIDA,257h 53' 57'',+ 05h 49' 48'',20,2017,,,,
21,TEAM DIMENSION DATA,257h 55' 50'',+ 05h 51' 41'',20,2017,,,,
22,FDJ,258h 45' 34'',+ 06h 41' 25'',20,2017,,,,
1,TEAM SKY,259h 21' 06'',-,21,2017,,,,
2,AG2R LA MONDIALE,259h 28' 20'',+ 00h 07' 14'',21,2017,,,,
3,TREK - SEGAFREDO,261h 05' 52'',+ 01h 44' 46'',21,2017,,,,
4,BMC RACING TEAM,261h 10' 55'',+ 01h 49' 49'',21,2017,,,,
5,ORICA - SCOTT,261h 13' 27'',+ 01h 52' 21'',21,2017,,,,
6,MOVISTAR TEAM,261h 16' 58'',+ 01h 55' 52'',21,2017,,,,
7,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,261h 36' 31'',+ 02h 15' 25'',21,2017,,,,
8,TEAM FORTUNEO - OSCARO,261h 39' 24'',+ 02h 18' 18'',21,2017,,,,
9,LOTTO SOUDAL,261h 49' 24'',+ 02h 28' 18'',21,2017,,,,
10,ASTANA PRO TEAM,261h 49' 45'',+ 02h 28' 39'',21,2017,,,,
11,UAE TEAM EMIRATES,262h 03' 49'',+ 02h 42' 43'',21,2017,,,,
12,TEAM SUNWEB,262h 44' 44'',+ 03h 23' 38'',21,2017,,,,
13,DIRECT ENERGIE,262h 53' 41'',+ 03h 32' 35'',21,2017,,,,
14,WANTY - GROUPE GOBERT,263h 15' 36'',+ 03h 54' 30'',21,2017,,,,
15,QUICK - STEP FLOORS,263h 23' 25'',+ 04h 02' 19'',21,2017,,,,
16,"COFIDIS, SOLUTIONS CRÉDITS",263h 27' 11'',+ 04h 06' 05'',21,2017,,,,
17,TEAM LOTTO NL - JUMBO,264h 10' 54'',+ 04h 49' 48'',21,2017,,,,
18,BORA - HANSGROHE,264h 43' 13'',+ 05h 22' 07'',21,2017,,,,
19,TEAM KATUSHA ALPECIN,264h 50' 17'',+ 05h 29' 11'',21,2017,,,,
20,BAHRAIN - MERIDA,265h 10' 54'',+ 05h 49' 48'',21,2017,,,,
21,TEAM DIMENSION DATA,265h 12' 47'',+ 05h 51' 41'',21,2017,,,,
22,FDJ,266h 02' 31'',+ 06h 41' 25'',21,2017,,,,
1,QUICK - STEP FLOORS,13h 10' 36'',-,1,2018,,,,
2,ASTANA PRO TEAM,13h 10' 36'',-,1,2018,,,,
3,BORA - HANSGROHE,13h 10' 36'',-,1,2018,,,,
4,BAHRAIN - MERIDA,13h 10' 36'',-,1,2018,,,,
5,TREK - SEGAFREDO,13h 10' 36'',-,1,2018,,,,
6,WANTY - GROUPE GOBERT,13h 10' 36'',-,1,2018,,,,
7,TEAM KATUSHA ALPECIN,13h 10' 36'',-,1,2018,,,,
8,TEAM DIMENSION DATA,13h 10' 36'',-,1,2018,,,,
9,TEAM SUNWEB,13h 10' 36'',-,1,2018,,,,
10,"COFIDIS, SOLUTIONS CREDITS",13h 10' 36'',-,1,2018,,,,
11,TEAM LOTTO NL - JUMBO,13h 10' 36'',-,1,2018,,,,
12,DIRECT ENERGIE,13h 10' 36'',-,1,2018,,,,
13,LOTTO SOUDAL,13h 10' 36'',-,1,2018,,,,
14,TEAM FORTUNEO - SAMSIC,13h 10' 36'',-,1,2018,,,,
15,AG2R LA MONDIALE,13h 11' 00'',+ 00h 00' 24'',1,2018,,,,
16,UAE TEAM EMIRATES,13h 11' 08'',+ 00h 00' 32'',1,2018,,,,
17,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,13h 11' 10'',+ 00h 00' 34'',1,2018,,,,
18,BMC RACING TEAM,13h 11' 27'',+ 00h 00' 51'',1,2018,,,,
19,GROUPAMA - FDJ,13h 11' 27'',+ 00h 00' 51'',1,2018,,,,
20,MOVISTAR TEAM,13h 11' 51'',+ 00h 01' 15'',1,2018,,,,
21,TEAM SKY,13h 12' 42'',+ 00h 02' 06'',1,2018,,,,
22,MITCHELTON - SCOTT,13h 13' 32'',+ 00h 02' 56'',1,2018,,,,
1,QUICK - STEP FLOORS,25h 30' 27'',-,2,2018,,,,
2,WANTY - GROUPE GOBERT,25h 30' 27'',-,2,2018,,,,
3,ASTANA PRO TEAM,25h 30' 27'',-,2,2018,,,,
4,TREK - SEGAFREDO,25h 30' 27'',-,2,2018,,,,
5,BORA - HANSGROHE,25h 30' 27'',-,2,2018,,,,
6,BAHRAIN - MERIDA,25h 30' 27'',-,2,2018,,,,
7,TEAM KATUSHA ALPECIN,25h 30' 27'',-,2,2018,,,,
8,TEAM DIMENSION DATA,25h 30' 27'',-,2,2018,,,,
9,TEAM SUNWEB,25h 30' 27'',-,2,2018,,,,
