Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
1,TEAM SAXO BANK,85h 56' 25'',-,6,2010,,,,
2,GARMIN - TRANSITIONS,85h 56' 30'',+ 00h 00' 05'',6,2010,,,,
3,SKY PRO CYCLING,85h 56' 44'',+ 00h 00' 19'',6,2010,,,,
4,ASTANA,85h 58' 46'',+ 00h 02' 21'',6,2010,,,,
5,BMC RACING TEAM,85h 59' 15'',+ 00h 02' 50'',6,2010,,,,
6,CERVELO TEST TEAM,85h 59' 41'',+ 00h 03' 16'',6,2010,,,,
7,RABOBANK,86h 00' 02'',+ 00h 03' 37'',6,2010,,,,
8,OMEGA PHARMA - LOTTO,86h 00' 05'',+ 00h 03' 40'',6,2010,,,,
9,AG2R LA MONDIALE,86h 00' 11'',+ 00h 03' 46'',6,2010,,,,
10,CAISSE D'EPARGNE,86h 00' 17'',+ 00h 03' 52'',6,2010,,,,
11,TEAM HTC - COLUMBIA,86h 00' 48'',+ 00h 04' 23'',6,2010,,,,
12,TEAM RADIOSHACK,86h 00' 53'',+ 00h 04' 28'',6,2010,,,,
13,LIQUIGAS-DOIMO,86h 01' 07'',+ 00h 04' 42'',6,2010,,,,
14,KATUSHA TEAM,86h 01' 33'',+ 00h 05' 08'',6,2010,,,,
15,FDJ,86h 01' 55'',+ 00h 05' 30'',6,2010,,,,
16,COFIDIS LE CREDIT EN LIGNE,86h 01' 56'',+ 00h 05' 31'',6,2010,,,,
17,EUSKALTEL - EUSKADI,86h 02' 28'',+ 00h 06' 03'',6,2010,,,,
18,BBOX BOUYGUES TELECOM,86h 02' 33'',+ 00h 06' 08'',6,2010,,,,
19,QUICK STEP,86h 02' 58'',+ 00h 06' 33'',6,2010,,,,
20,TEAM MILRAM,86h 02' 59'',+ 00h 06' 34'',6,2010,,,,
21,LAMPRE - FARNESE,86h 06' 30'',+ 00h 10' 05'',6,2010,,,,
22,FOOTON-SERVETTO,86h 06' 31'',+ 00h 10' 06'',6,2010,,,,
1,ASTANA,99h 12' 43'',-,7,2010,,,,
2,RABOBANK,99h 13' 39'',+ 00h 00' 56'',7,2010,,,,
3,CAISSE D'EPARGNE,99h 14' 07'',+ 00h 01' 24'',7,2010,,,,
4,SKY PRO CYCLING,99h 14' 12'',+ 00h 01' 29'',7,2010,,,,
5,TEAM RADIOSHACK,99h 14' 50'',+ 00h 02' 07'',7,2010,,,,
6,BBOX BOUYGUES TELECOM,99h 16' 23'',+ 00h 03' 40'',7,2010,,,,
7,BMC RACING TEAM,99h 16' 27'',+ 00h 03' 44'',7,2010,,,,
8,TEAM HTC - COLUMBIA,99h 16' 58'',+ 00h 04' 15'',7,2010,,,,
9,QUICK STEP,99h 17' 16'',+ 00h 04' 33'',7,2010,,,,
10,COFIDIS LE CREDIT EN LIGNE,99h 20' 19'',+ 00h 07' 36'',7,2010,,,,
11,AG2R LA MONDIALE,99h 20' 38'',+ 00h 07' 55'',7,2010,,,,
12,EUSKALTEL - EUSKADI,99h 20' 51'',+ 00h 08' 08'',7,2010,,,,
13,TEAM SAXO BANK,99h 21' 34'',+ 00h 08' 51'',7,2010,,,,
14,KATUSHA TEAM,99h 22' 00'',+ 00h 09' 17'',7,2010,,,,
15,OMEGA PHARMA - LOTTO,99h 22' 10'',+ 00h 09' 27'',7,2010,,,,
16,LIQUIGAS-DOIMO,99h 23' 19'',+ 00h 10' 36'',7,2010,,,,
17,GARMIN - TRANSITIONS,99h 27' 37'',+ 00h 14' 54'',7,2010,,,,
18,FOOTON-SERVETTO,99h 32' 03'',+ 00h 19' 20'',7,2010,,,,
19,TEAM MILRAM,99h 33' 26'',+ 00h 20' 43'',7,2010,,,,
20,FDJ,99h 35' 32'',+ 00h 22' 49'',7,2010,,,,
21,CERVELO TEST TEAM,99h 42' 23'',+ 00h 29' 40'',7,2010,,,,
22,LAMPRE - FARNESE,99h 51' 39'',+ 00h 38' 56'',7,2010,,,,
1,RABOBANK,113h 59' 59'',-,8,2010,,,,
2,ASTANA,114h 00' 09'',+ 00h 00' 10'',8,2010,,,,
3,TEAM RADIOSHACK,114h 02' 52'',+ 00h 02' 53'',8,2010,,,,
4,CAISSE D'EPARGNE,114h 08' 14'',+ 00h 08' 15'',8,2010,,,,
5,AG2R LA MONDIALE,114h 11' 14'',+ 00h 11' 15'',8,2010,,,,
6,LIQUIGAS-DOIMO,114h 12' 42'',+ 00h 12' 43'',8,2010,,,,
7,TEAM HTC - COLUMBIA,114h 12' 51'',+ 00h 12' 52'',8,2010,,,,
8,BMC RACING TEAM,114h 13' 10'',+ 00h 13' 11'',8,2010,,,,
9,COFIDIS LE CREDIT EN LIGNE,114h 15' 12'',+ 00h 15' 13'',8,2010,,,,
10,OMEGA PHARMA - LOTTO,114h 16' 26'',+ 00h 16' 27'',8,2010,,,,
11,EUSKALTEL - EUSKADI,114h 17' 42'',+ 00h 17' 43'',8,2010,,,,
12,BBOX BOUYGUES TELECOM,114h 20' 56'',+ 00h 20' 57'',8,2010,,,,
13,SKY PRO CYCLING,114h 21' 47'',+ 00h 21' 48'',8,2010,,,,
14,QUICK STEP,114h 24' 23'',+ 00h 24' 24'',8,2010,,,,
15,FOOTON-SERVETTO,114h 25' 12'',+ 00h 25' 13'',8,2010,,,,
16,TEAM SAXO BANK,114h 27' 01'',+ 00h 27' 02'',8,2010,,,,
17,FDJ,114h 42' 50'',+ 00h 42' 51'',8,2010,,,,
18,GARMIN - TRANSITIONS,114h 45' 43'',+ 00h 45' 44'',8,2010,,,,
19,KATUSHA TEAM,114h 48' 16'',+ 00h 48' 17'',8,2010,,,,
20,CERVELO TEST TEAM,114h 57' 28'',+ 00h 57' 29'',8,2010,,,,
21,TEAM MILRAM,115h 21' 07'',+ 01h 21' 08'',8,2010,,,,
22,LAMPRE - FARNESE,115h 45' 05'',+ 01h 45' 06'',8,2010,,,,
1,CAISSE D'EPARGNE,131h 05' 36'',-,9,2010,,,,
2,TEAM RADIOSHACK,131h 06' 07'',+ 00h 00' 31'',9,2010,,,,
