Stages,Date,Start,Finish,Year
Stage 4,10/07/2018,La Baule,Sarzeau,2018
Stage 5,11/07/2018,Lorient,Quimper,2018
Stage 6,12/07/2018,Brest,Mûr-de-Bretagne Guerlédan,2018
Stage 7,13/07/2018,Fougères,Chartres,2018
Stage 8,14/07/2018,Dreux,Amiens,2018
Stage 9,15/07/2018,Arras Citadelle,Roubaix,2018
Stage 10,17/07/2018,Annecy,Le Grand-Bornand,2018
Stage 11,18/07/2018,Albertville,La Rosière Espace San Bernardo,2018
Stage 12,19/07/2018,Bourg-Saint-Maurice Les Arcs,Alpe d'Huez,2018
Stage 13,20/07/2018,Le Bourg d'Oisans,Valence,2018
Stage 14,21/07/2018,Saint-Paul-Trois-Châteaux,Mende,2018
Stage 15,22/07/2018,Millau,Carcassonne,2018
Stage 16,24/07/2018,Carcassonne,Bagnères-de-Luchon,2018
Stage 17,25/07/2018,Bagnères-de-Luchon,Saint-Lary-Soulan Col du Portet,2018
Stage 18,26/07/2018,Trie-sur-Baïse,Pau,2018
Stage 19,27/07/2018,Lourdes,Laruns,2018
Stage 20,28/07/2018,Saint-Pée-sur-Nivelle,Espelette,2018
Stage 21,29/07/2018,Houilles,Paris Champs-Élysées,2018
Stage 1,06/07/2019,Bruxelles,Brussel,2019
Stage 2,07/07/2019,Bruxelles Palais Royal,Brussel Atomium,2019
Stage 3,08/07/2019,Binche,Épernay,2019
Stage 4,09/07/2019,Reims,Nancy,2019
Stage 5,10/07/2019,Saint-Dié-des-Vosges,Colmar,2019
Stage 6,11/07/2019,Mulhouse,La Planche des Belles Filles,2019
Stage 7,12/07/2019,Belfort,Chalon-sur-Saône,2019
Stage 8,13/07/2019,Mâcon,Saint-Étienne,2019
Stage 9,14/07/2019,Saint-Étienne,Brioude,2019
Stage 10,15/07/2019,Saint-Flour,Albi,2019
Stage 11,17/07/2019,Albi,Toulouse,2019
Stage 12,18/07/2019,Toulouse,Bagnères-de-Bigorre,2019
Stage 13,19/07/2019,Pau,Pau,2019
Stage 14,20/07/2019,Tarbes,Tourmalet Barèges,2019
Stage 15,21/07/2019,Limoux,Foix Prat d'Albis,2019
Stage 16,23/07/2019,Nîmes,Nîmes,2019
Stage 17,24/07/2019,Pont du Gard,Gap,2019
Stage 18,25/07/2019,Embrun,Valloire,2019
Stage 19,26/07/2019,Saint-Jean-de-Maurienne,Tignes,2019
Stage 20,27/07/2019,Albertville,Val Thorens,2019
Stage 21,28/07/2019,Rambouillet,Paris Champs-Élysées,2019
Stage 1,29/08/2020,Nice Moyen Pays,Nice,2020
Stage 2,30/08/2020,Nice Haut Pays,Nice,2020
Stage 3,31/08/2020,Nice,Sisteron,2020
Stage 4,01/09/2020,Sisteron,Orcières-Merlette,2020
Stage 5,02/09/2020,Gap,Privas,2020
Stage 6,03/09/2020,Le Teil,Mont Aigoual,2020
Stage 7,04/09/2020,Millau,Lavaur,2020
Stage 8,05/09/2020,Cazères-sur-Garonne,Loudenvielle,2020
Stage 9,06/09/2020,Pau,Laruns,2020
Stage 10,08/09/2020,Île d'Oléron Le Château-d'Oléron,Île de Ré Saint-Martin-de-Ré,2020
Stage 11,09/09/2020,Châtelaillon-Plage,Poitiers,2020
Stage 12,10/09/2020,Chauvigny,Sarran Corrèze,2020
Stage 13,11/09/2020,Châtel-Guyon,Puy Mary Cantal,2020
Stage 14,12/09/2020,Clermont-Ferrand,Lyon,2020
Stage 15,13/09/2020,Lyon,Grand Colombier,2020
Stage 16,15/09/2020,La Tour-du-Pin,Villard-de-Lans,2020
Stage 17,16/09/2020,Grenoble,Méribel Col de la Loze,2020
Stage 18,17/09/2020,Méribel,La Roche-sur-Foron,2020
Stage 19,18/09/2020,Bourg-en-Bresse,Champagnole,2020
Stage 20,19/09/2020,Lure,La Planche des Belles Filles,2020
Stage 21,20/09/2020,Mantes-la-Jolie,Paris Champs-Élysées,2020
Stage 1,26/06/2021,Brest,Landerneau,2021
Stage 2,27/06/2021,Perros-Guirec,Mûr-de-Bretagne Guerlédan,2021
Stage 3,28/06/2021,Lorient,Pontivy,2021
Stage 4,29/06/2021,Redon,Fougères,2021
Stage 5,30/06/2021,Changé,Laval Espace Mayenne,2021
Stage 6,01/07/2021,Tours,Châteauroux,2021
Stage 7,02/07/2021,Vierzon,Le Creusot,2021
Stage 8,03/07/2021,Oyonnax,Le Grand-Bornand,2021
Stage 9,04/07/2021,Cluses,Tignes,2021
Stage 10,06/07/2021,Albertville,Valence,2021
Stage 11,07/07/2021,Sorgues,Malaucène,2021
Stage 12,08/07/2021,Saint-Paul-Trois-Châteaux,Nîmes,2021
Stage 13,09/07/2021,Nîmes,Carcassonne,2021
Stage 14,10/07/2021,Carcassonne,Quillan,2021
